word,jyutping
岫岩縣,zau6 ngaam4 jyun6
舀水,jiu5 seoi2
激光唱機,
面有菜色,min6 jau5 coi3 sik1
五刑,ng5 jing4
深圳卡,
睇麼,
咩錢,
延川縣,jin4 cyun1 jyun6
望星打卦,
四號門,
噉嘅意思,
一霎間,jat1 saap3 gaan1
唔喺手腳,
清河門區,cing1 ho4 mun4 keoi1
合衆國,hap6 zung3 gwok3
扚起佢,
庚申,gang1 san1
翁牛特,jung1 ngau4 dak6
零食主義,
考波什堡,haau2 bo1 sap6 bou2
臘䩌,laap6 caau4
燕巢,jin3 caau4
上杭縣,soeng6 hong4 jyun6
劃圓防守,waak6 jyun4 fong4 sau2
白肩黑䴉,baak6 gin1 hak1 waan4
姑父,gu1 fu6
游仙,jau4 sin1
三隻耳,
寸縷,cyun3 leoi5
瞪鞋搖滾,dang6 haai4 jiu4 gwan2
圖名圖利,tou4 ming4 tou4 lei6
峽江縣,haap6 gong1 jyun6
長䧒䧒,coeng4 laai4 laai4
潭第,taam4 dai6
設計之都,
蠲租,gyun1 zou1
羅懋登,lo4 mau6 dang1
會長團,wui6 zoeng2 tyun4
第三國際,dai6 saam1 gwok3 zai3
無形貿易,mou4 jing4 mau6 jik6
扒拉,paa4 laai1
零擔,ling4 daam1
爸爸媽咪,
大口扒,
夯地,haang1 dei6
報謙,bou3 him1
調和振動,tiu4 wo4 zan3 dung6
照噉睇嚟,
講咗咯,
鶩舲,mou6 ling4
戽水,fu3 seoi2
華興傢俬,
株守,zyu1 sau2
珍饈美味,zan1 sau1 mei5 mei6
把死臭口,
連山縣,lin4 saan1 jyun6
皮山,pei4 saan1
嚴格管理,
咬雲,ngaau5 wan4
檮杌,tou4 ngat6
承商,sing4 soeng1
覷機會,ceoi3 gei1 wui6
勞燕分飛,lou4 jin3 fan1 fei1
提籃兒,tai4 laam4 ji4
所有包,
你條嘢,
好安逸,
饒陽縣,jiu4 joeng4 jyun6
遠咗啲,
瑪拉基亞,maa5 laai1 gei1 aa3
蝠鱝,fuk1 fan5
擁門,ung2 mun2
