word,jyutping
雙臺子,soeng1 toi4 zi2
一言以蔽,jat1 jin4 ji5 bai3
生活知味,
關境,gwaan1 ging2
屙茄,o1 ke1
搞錯咗嘞,
炕沙,hong3 saa1
名媒正娶,
一切險,jat1 cai3 him2
打跟頭,daa2 gan1 tau4
例水,lai6 seoi2
話頭醒屘,
坡面,
沒查到,
你未走啊,
屁眼兒,pei3 ngaan5 ji4
絘布,ci3 bou3
腰骨硬,jiu1 gwat1 ngaang6
荷樹下,
我呢度有,
安培小時,on1 pui4 siu2 si4
擗低,
中江縣,zung1 gong1 jyun6
格子花呢,gaak3 zi2 faa1 nei4
精歸左,zeng1 gwai1 zo2
散擔,
溪口鄉,kai1 hau2 hoeng1
大專會堂,daai6 zyun1 wui6 tong4
隨意肌,ceoi4 ji3 gei1
畀你吹脹,
包身工,baau1 san1 gung1
扳不倒兒,paan1 bat1 dou2 ji4
裏外裏,leoi5 ngoi6 leoi5
清華培訓,
鴴科,hang4 fo1
長白縣,coeng4 baak6 jyun6
靖州縣,zing6 zau1 jyun6
基布茲,gei1 bou3 zi1
耍筆桿,saa2 bat1 gon1
㞓晒,hai1 saai3
纏綿悱惻,cin4 min4 fei2 cak1
正交羣,zing3 gaau1 kwan4
唔好企住,
波密,bo1 mat6
街段,gaai1 dyun6
單班課,daan1 baan1 fo3
狸子,lei4 zi2
鴨子兒,aap3 zi2 ji4
拘票,keoi1 piu3
馬爾斯,maa5 ji5 si1
刮竹,gwaat3 zuk1
讓畔,joeng6 bun6
我記得喇,
沒咁,
傑里米,git6 lei5 mai5
潮商,
喺啊,
迪卡儂,
餅餌,beng2 nei6
耍鬧,saa2 naau6
再同你,
藏雪雀,zong6 syut3 zoek3
假充,gaa2 cung1
火燂塵,fo2 taam4 can4
毒蠅傘,duk6 jing4 saan3
下角頭,
古諺,gu2 jin6
街艔,gaai1 dou2
搋在懷裏,caai1 zoi6 waai4 leoi5
刨柴,paau4 caai4
聖母無玷,
紋面,man4 min6
份子錢,fan6 zi2 cin2
跑題,paau2 tai4
盛氣淩人,
嚟咗喇,
蝄蜽,mong5 loeng5
忠於祖國,
睇一下,
航空運單,hong4 hung1 wan6 daan1
藏貓兒,cong4 maau1 ji4
惡罵,ok3 maa6
去一去,
樂業縣,lok6 jip6 jyun6
唔喺吖,
酒漏,zau2 lau2
搵返嚟,
龍門石窟,lung4 mun4 sek6 fat1
危徑,ngai4 ging3
恨事,han6 si6
腌貨,jip3 fo3
帝汶海,dai3 man6 hoi2
唔爭好遠,
星曜,sing1 jiu6
吉安地區,gat1 on1 dei6 keoi1
性格演繹,
一碌葛,
紅額穗鶥,hung4 ngaak6 seoi6 mei4
草寇,cou2 kau3
餘量,jyu4 loeng6
塞古盟憎,sak1 gu2 mang4 zang1
焗腳,guk6 goek3
小仙鶲,siu2 sin1 jung1
做起嘢,
我條腰呀,
二孃,ji6 noeng2
踩西瓜皮,
副線圈,fu3 sin3 hyun1
勘察加,ham3 caat3 gaa1
縞瑪瑙,gou2 maa5 nou5
幾張單,
蒼耳,cong1 ji5
得梅因,dak1 mui4 jan1
闖王陵,cong2 wong4 ling4
笪親,
淫徑,jam4 ging3
洗冤集錄,sai2 jyun1 zaap6 luk6
彎弓,waan1 gung1
來鳳縣,loi4 fung6 jyun6
喝糖水,
大田螺,
武山,mou5 saan1
淒蒼,
換個兒,wun6 go3 ji4
果餡餅,gwo2 haam2 beng2
佗住,
蓮都區,lin4 dou1 keoi1
我後日,
捫胸,mun1 hung1
陳理府,can4 lei5 fu2
多胎,do1 toi1
蟋蟀草,sik1 seot1 cou2
