word,jyutping
電熱棒,
裁減軍備,coi4 gaam2 gwan1 bei6
同軸線,
如金似玉,jyu4 gam1 ci5 juk6
騎馬釘,ke4 maa5 deng1
惰角,do6 gok3
點估倒,
袁靜,jyun4 zing6
按揭費,
慘毒,caam2 duk6
京斯敦,ging1 si1 deon1
死得未,
蛇脫,se4 tyut3
斬馬刀,zaam2 maa5 dou1
盤駁,pun4 bok3
贊成住宿,
普格縣,pou2 gaak3 jyun6
綏遠省,seoi1 jyun5 saang2
三角龍,saam1 gok3 lung4
梧州地區,ng4 zau1 dei6 keoi1
強烈願望,koeng4 lit6 jyun6 mong6
波特酒,bo1 dak6 zau2
鐵峯區,tit3 fung1 keoi1
必應,bit1 jing3
伊思邁爾,ji1 si1 maai6 ji5
混合文,
擺平佢,baai2 ping4 keoi5
我叫佢哋,
冇事了,
伏兒人,bok6 ji1 jan1
師奶衫褲,
貴定縣,gwai3 ding6 jyun6
乜劇,
解元,gaai2 jyun4
三牲,saam1 sang1
電影院睇,
跑馬觀花,
拉家伙,laai1 gaa1 fo2
中間纖維,zung1 gaan1 cim1 wai4
苯氧基,bun2 joeng5 gei1
事乾,si6 gon1
雙孖鯉魚,
延慶縣,jin4 hing3 jyun6
老牛舐犢,lou5 ngau4 saai5 duk6
屏條,ping4 tiu4
和平特使,wo4 ping4 dak6 si3
烏七八糟,wu1 cat1 baat3 zou1
唔係唔會,
傻戇戇,so4 ngong6 ngong6
角門,gok3 mun4
苦行贖罪,fu2 hang4 suk6 zeoi6
黑墨屎,haak1 mak6 si2
臥姿,
外袍,ngoi6 pou4
七聲音階,cat1 sing1 jam1 gaai1
立功受獎,
樅陽縣,cung1 joeng4 jyun6
咩專業,
巴南區,baa1 naam4 keoi1
你走吖,
何璧堅,
豐衣粥食,
電子行業,
新藝拉瑪,san1 ngai6 laai1 maa5
請喝水,
血師,hyut3 si1
青山湖,cing1 saan1 wu4
麗語,lai6 jyu5
紅熊貓,hung4 hung4 maau1
新晃,san1 fong2
呵禁,ho1 gam3
鏇木,syun4 muk6
核自旋,hat6 zi6 syun4
佢屋企好,
我知呀,
愛普生,oi3 pou2 sang1
戰鬥序列,
噴絲頭,pan3 si1 tau4
嘆慣,
瓦肯,ngaa5 hang2
牟平區,muk6 ping4 keoi1
相思子,soeng1 si1 zi2
淇縣,kei4 jyun6
無呀,
低首下心,dai1 sau2 haa6 sam1
國代,gwok3 doi6
無糖食品,
卜問,buk1 man6
造紙工業,zou6 zi2 gung1 jip6
座次,zo6 ci3
沙頭圍,
吟沈,
少件得件,siu2 gin6 dak1 gin6
讕言,laan4 jin4
啲啲咁大,
使乜緊張,
盲目攀比,
真係正呀,
寢苫枕塊,cam2 sim1 zam2 faai3
爬海,
仰韶,joeng5 siu4
嚷劈,joeng6 pek3
金鶯,
峨眉鄉,ngo4 mei4 hoeng1
鏟運機,caan2 wan6 gei1
尚饗,soeng6 hoeng2
南莊鄉,naam4 zong1 hoeng1
虛底,heoi1 dai2
虛報冒領,
掹哈,maang1 haa1
江城縣,gong1 sing4 jyun6
珍羞,zan1 sau1
一品紅,jat1 ban2 hung4
不凍港,bat1 dung3 gong2
旱魃,hon5 baat6
玩人喪德,wun6 jan4 song3 dak1
新束束,san1 cuk1 cuk1
走記,zau2 gei3
飛身撲救,
脤瓜瓜,san5 gwaa1 gwaa1
卜占,buk1 zim1
呀哥,
得閒呢,
花點子,faa1 dim2 zi2
獅前,
東部華僑,
石澳警署,
開鑽,hoi1 zyun3
爛崽,laan6 zoi2
差不離,caa1 bat1 lei4
混世魔王,wan6 sai3 mo1 wong4
竹溪縣,zuk1 kai1 jyun6
拳棒,kyun4 paang5
孫新婦,syun1 san1 pou5
柔能克剛,jau4 nang4 hak1 gong1
杉林鄉,caam3 lam4 hoeng1
九九重陽,gau2 gau2 cung4 joeng4
都係嗰個,
暗記兒,am3 gei3 ji4
把春,baa2 ceon1
安唔安排,
生達鄉,saang1 daat6 hoeng1
包產,baau1 caan2
小雨絲絲,
廣分,gwong2 fan1
遼金,liu4 gam1
勞動報,lou4 dung6 bou3
耳墜子,ji5 zeoi6 zi2
呼哧,fu1 ci1
多瓣蒜,do1 faan6 syun3
揢手,kak1 sau2
又走咗,
鳥嘴,niu5 zeoi2
心喐,sam1 juk1
攞打,
槐枝,waai4 zi1
蕹菜,ung3 coi3
評騭,ping4 zat1
彈斥,taan4 cik1
角秒符號,gok3 miu5 fu4 hou2
浩博,hou6 bok3
冇𠸎更,
開篇伊始,
弄瓦之喜,lung6 ngaa5 zi1 hei2
䟴䟴板,ngan3 ngan3 baan2
蛇車,se4 ce1
兩當,loeng5 dong1
真係廢嘅,
總體佈局,
漢元帝,hon3 jyun4 dai3
褒忠,bou1 zung1
幼馬,jau3 maa5
嘁起,
戰備動員,
安順地區,on1 seon6 dei6 keoi1
仗腰,zoeng6 jiu1
植物類,
泰東,taai3 dung1
渾球,wan4 kau4
三黃四月,saam1 wong4 sei3 jyut6
我老母,
牛頭梗,ngau4 tau4 gang2
呵譴,ho1 hin2
生理特點,
檢查值,gim2 caa4 zik6
朝歌,ziu1 go1
哀泣,oi1 jap1
楊億,joeng4 jik1
叫驢,giu3 leoi4
商州,soeng1 zau1
劈情操,pik1 cing4 cou3
晒晒,
腳不沾地,goek3 bat1 zim1 dei6
你叫啦,
生物製品,sang1 mat6 zai3 ban2
反面兒,faan2 min6 ji4
豪富,hou4 fu3
測地曲率,caak1 dei6 kuk1 leot2
靖江,zing6 gong1
並系羣,bing6 hai6 kwan4
開香堂,hoi1 hoeng1 tong4
南潯,naam4 cam4
風向器,fung1 hoeng3 hei3
賭白頭片,dou2 baak6 tau4 pin2
你冇遮,
普密蓬,pou2 mat6 pung4
督標,duk1 biu1
辨證論治,bin6 zing3 leon6 zi6
略見一斑,loek6 gin3 jat1 baan1
穹肋,kung4 lak6
溥儁,pou2 zeon3
挑達,tou1 taat3
近聞,
雅什,ngaa5 sap6
落隔,lok6 gaak3
能興盛,
我去到了,
富川縣,fu3 cyun1 jyun6
打畀妳,
背山臨水,bui3 saan1 lam4 seoi2
君安洗衣,
驪姬之亂,lei4 gei1 zi1 lyun6
水螅,seoi2 sik1
拍婆子,paak3 po4 zi2
無夜無日,
淘神,tou4 san4
眉縣,mei4 jyun6
停表,ting4 biu2
你睇實佢,
落地燈,lok6 dei6 dang1
同翅目,tung4 ci3 muk6
換咗佢,
布防迎戰,bou3 fong4 jing4 zin3
窿窿啦啦,
恭城縣,gung1 sing4 jyun6
扒糕,paa4 gou1
懣然,mun6 jin4
金色鴉雀,gam1 sik1 aa1 zoek3
水杉,seoi2 caam3
秀英區,sau3 jing1 keoi1
亂講也,
含英咀華,ham4 jing1 zeoi2 waa4
愣神兒,ling6 san4 ji4
繡花枕頭,sau3 faa1 zam2 tau4
標屎標尿,
車條,ce1 tiu4
炸土豆條,zaa3 tou2 dau6 tiu4
逆數,jik6 sou3
鐵架牀,
綺色佳,ji2 sik1 gaai1
萬年青,maan6 nin4 cing1
配匙,pui3 si4
耳蠟,ji5 laap6
李滄,lei5 cong1
建白,gin3 baak6
新花臣,
賠小心,pui4 siu2 sam1
任拿,jam6 naa4
格恩西島,gaak3 jan1 sai1 dou2
麻栗坡縣,maa4 leot6 bo1 jyun6
銀匠,ngan4 zoeng6
幾唔爽,
南木林縣,naam4 muk6 lam4 jyun6
打春,daa2 ceon1
馬遊塘邨,
雍和,jung1 wo4
舂臽,zung1 ham2
翻渣,faan1 zaa1
維持費,wai4 ci4 fai3
猶未爲晚,jau4 mei6 wai4 maan5
流定堅,
雲城區,wan4 sing4 keoi1
做臉,zou6 lim5
基諾族,gei1 nok6 zuk6
谷住氣,
隱燃,jan2 jin4
環球化,waan4 kau4 faa3
全家冚竇,cyun4 gaa1 kam2 dau3
雙煞,
戲詞,hei3 ci4
杠杆收購,gong3 gon1 sau1 kau3
嘁衫尾,
千金要方,cin1 gam1 jiu3 fong1
