word,jyutping
實分析,sat6 fan1 sik1
囒噸,laan4 deon1
項頸,hong6 geng2
柳條邊,lau5 tiu4 bin1
棉墊,
邊緣地帶,
義堂,ji6 tong2
蔫臭,jin1 cau3
甜到耨,
金山阿伯,gam1 saan1 aa3 baak3
無價珍珠,mou4 gaa3 zan1 zyu1
紅白喜事,hung4 baak6 hei2 si6
吊門桔,diu3 mun4 gat1
申不害,san1 bat1 hoi6
聽亞媽話,
不識一丁,bat1 sik1 jat1 ding1
作文集,
係噉嘎啦,
勤儉起家,kan4 gim6 hei2 gaa1
流動兒童,lau4 dung6 ji4 tung4
案卷,on3 gyun2
單縣,sin6 jyun6
橫加指責,waang4 gaa1 zi2 zaak3
做莊口,zou6 zong1 hau2
總纂,
倒背手,dou2 bui3 sau2
唯心論,wai4 sam1 leon6
點點心思,
甚鉅,sam6 geoi6
旋花科,syun4 faa1 fo1
匡扶社稷,hong1 fu4 se5 zik1
冪級數,mik6 kap1 sou3
榛色,zeon1 sik1
蔥蔥,cung1 cung1
朝鮮薊,ziu1 sin1 gai3
麻麻哋啦,
你五好,
迷朦,
還在東莞,
左搵右搵,
毫銀,hou4 ngan2
偷眼,tau1 ngaan5
剃臊毛,tai3 sou1 mou1
納塔乃耳,naap6 taap3 naai5 ji5
連闖,
來廣州玩,
毛拉,mou4 laai1
藍光光盤,laam4 gwong1 gwong1 pun2
新平縣,san1 ping4 jyun6
東邊兒,dung1 bin1 ji4
虎林,fu2 lam4
太和區,taai3 wo4 keoi1
校友加嘅,
包檯,baau1 toi2
你想知,
圖案鎖,
訓得,
唔打人,
山高水險,saan1 gou1 seoi2 him2
棒殺,paang5 saat3
戇閪,ngong6 hai1
冬耕,dung1 gaang1
豬屎𩿞,zyu1 si2 caa4
小小說,siu2 siu2 syut3
眼皮哭腫,ngaan5 pei4 huk1 zung2
花士苓,faa1 si6 ling2
繼續諗下,
棚戶,paang4 wu6
勒勒車,lak6 lak6 ce1
涉外單位,
家公家婆,
瑪德琳,maa5 dak1 lam4
天后廟前,
紅鼕鼕,
疍家,daan6 gaa1
保安交通,
唯億,
格薩爾,gaak3 saat3 ji5
眼底下,ngaan5 dai2 haa6
襏襫,but6 sik1
國樂團,gwok3 ngok6 tyun4
仲瞓緊覺,
查克瑞,caa4 hak1 seoi6
熱喎,
大眼鷄,
峨山縣,ngo4 saan1 jyun6
南北對流,
山皇鳩,saan1 wong4 kau1
年年如此,
結厴,git3 jim2
甘甘涼涼,
不論怎麼,bat1 leon6 zam2 mo1
漏填,
沒溜兒,mut6 liu1 ji4
似啦,
降下帷幕,
閪佬,
禦侮,jyu6 mou5
冷淡關係,laang5 daam6 gwaan1 hai6
違拗,wai4 aau3
壽限,sau6 haan6
畏怯,wai3 hip3
意蘊,ji3 wan2
燒昏,
悲不自勝,bei1 bat1 zi6 sing3
楊業,joeng4 jip6
名門一格,
臨時校舍,
南極座,naam4 gik6 zo6
紅骨髓,hung4 gwat1 seoi5
蕭梁,siu1 loeng4
緯紗,wai5 saa1
捕虜岩,bou6 lou5 ngaam4
我好想嘔,
比容,bei2 jung4
空兒,hung1 ji4
興安盟,hing1 on1 mang4
尉氏,wai3 si6
塞實,
喃無,naam4 mo4
你大個,
矛賴,maau4 laai2
合吃族,hap6 hek3 zuk6
卯榫,maau5 seon2
起鐘,hei2 zung1
網語,mong5 jyu5
仲唔係你,
欽南,jam1 naam4
鹽西葱,jim4 sai1 cung1
陶然,tou4 jin4
雨溦仔,jyu5 mei1 zai2
呢種行爲,
工人日報,gung1 jan4 jat6 bou3
丹瑞大將,daan1 seoi6 daai6 zoeng3
渡渡鳥,dou6 dou6 niu5
難難,
詣謁,ngai6 jit3
買臺,maai5 toi4
退休工人,
賣頭賣尾,maai6 tau4 maai6 mei5
保語,bou2 jyu5
渾脫,wan4 tyut3
整成噉,
唔夠佢快,
乜撛,
死於安樂,sei2 jyu1 on1 lok6
手嶌葵,sau2 dou2 kwai4
賀蘭縣,ho6 laan4 jyun6
狗肚山,
挑山工,tiu1 saan1 gung1
疇先,cau4 sin1
曬衣繩子,saai3 ji1 sing4 zi2
彩超,coi2 ciu1
餘怒,jyu4 nou6
激光戰車,
曱甴肚,
多面角,do1 min6 gok3
好百年,
涓埃之力,gyun1 oi1 zi1 lik6
斯沃琪,si1 juk1 kei4
上弦月,soeng6 jin4 jyut6
報號,
漯飯,loe1 faan6
石雞,sek6 gai1
李錦帆,
出寵,
唔爹唔吊,
纊親,kwang3 can1
舞廳舞,mou5 teng1 mou5
牢什子,lou4 sap6 zi2
水富縣,seoi2 fu3 jyun6
孱頭,caan3 tau4
縱言,zung3 jin4
解鎖碼,
鄉土地,
油鋸,jau4 geoi3
三索,saam1 sok3
前途廣闊,
愛德華島,oi3 dak1 waa4 dou2
抓力,zaau2 lik6
全家桶,
冇曬影,
高清屏,
你靚女,
納德阿里,naap6 dak1 aa3 lei5
雅飭,ngaa5 cik1
關你鬼事,
生疼,sang1 tang4
你阿哥,
班瑪縣,baan1 maa5 jyun6
旁門,pong4 mun4
執咗拒,
柯城區,o1 sing4 keoi1
宰人,zoi2 jan4
玩兒完,wun6 ji4 jyun4
希思羅,hei1 si1 lo4
講緊價,
四開本,sei3 hoi1 bun2
暴扣,bou6 kau3
斑翅鷯鶥,baan1 ci3 liu4 mei4
索緒爾,sok3 seoi5 ji5
轉鈴兒,zyun2 ling4 ji4
篤專,duk1 zyun1
做張做智,zou6 zoeng1 zou6 zi3
兩嬸母,loeng5 sam2 mou5
老楞佐堂,
鋼色,
西固,sai1 gu3
貝司,bui3 si1
堤拉米蘇,tai4 laai1 mai5 sou1
佧佤族,kaa1 ngaa5 zuk6
天柱縣,tin1 cyu5 jyun6
咁正常,
思鄉緣,
元陽,jyun4 joeng4
柴把,caai4 baa2
點水不漏,dim2 seoi2 bat1 lau6
錦秀,
薩格勒布,saat3 gaak3 lak6 bou3
凶暴,hung1 bou6
居經,geoi1 ging1
葉苔,jip6 toi4
金麒麟,
偵察性,zing1 caat3 sing3
古盜鳥,gu2 dou6 niu5
神木縣,san4 muk6 jyun6
我認真㗎,
飛矢,fei1 ci2
茂港,mau6 gong2
綿遠,min4 jyun5
純正普洱,
家政服務,
貪鄙,taam1 pei2
靈璧,ling4 bik1
醉翁亭,
鰲拜,
契乸,kai3 naa2
總會痛,
暖唔暖,
乾俸,gon1 fung2
起㬹,hei2 zaang1
熒屏,jing4 ping4
堅如磐石,gin1 jyu4 pun4 sek6
騷擾曬,
同甘同味,
吸血者,kap1 hyut3 ze2
李誦,lei5 zung6
先抓,
閒嘢,haan4 je5
聯邦州,lyun4 bong1 zau1
踎大牌檔,mau1 daai6 paai4 dong3
珊瑚潭,saan1 wu4 taam4
敖順,ngou4 seon6
安瓿,on1 pau2
一筐,
吹吹拍拍,ceoi1 ceoi1 paak3 paak3
犄角旮旯,gei1 gok3 go1 lo1
洗練,sai2 lin6
薄瑞光,bok6 seoi6 gwong1
手抓餅,
簡簡糊,kaan2 kaan2 wu2
本徵向量,bun2 zing1 hoeng3 loeng6
住隔籬,
沒長眼睛,mut6 zoeng2 ngaan5 zing1
羨慕獨立,
黑客文,hak1 haak3 man4
大陰頂,
雞膥珠,gai1 ceon1 zyu1
鞘翅目,ciu3 ci3 muk6
冇爪蟛蜞,mou5 zaau2 paang4 kei2
撓曲,naau4 kuk1
死好命,
想呃邊個,
自洽,
祖鳥類,zou2 niu5 leoi6
結球甘藍,git3 kau4 gam1 laam4
調試緊,
切向速度,cit3 hoeng3 cuk1 dou6
有乜錯,
定例,ding6 lai6
同我熟,
芝麻仔,
攪生曬,
估定,gu2 ding6
逼債,bik1 zaai3
富豐,
梆子腔,bong1 zi2 hong1
不知幾盞,
咪係嗰個,
月坑,jyut6 haang1
深圳地區,
絞車,gaau2 ce1
筆心,bat1 sam1
係唔係㗎,
定點企業,ding6 dim2 kei5 jip6
呢個人呀,
氽湯,tan1 tong1
寒飛,hon4 fei1
八字方針,baat3 zi6 fong1 zam1
品服,ban2 fuk6
鷄春,gai1 ceon1
假種皮,gaa2 zung2 pei4
炭燒啡,
指徵,zi2 zing1
平山仔,
絣貓尾,mang3 maau1 mei5
蠟燭燈,
計下度下,
週三,zau1 saam1
莫可名狀,mok6 ho2 ming4 zong6
假象牙,gaa2 zoeng6 ngaa4
呵喝,ho1 hot3
㞓聲,hai1 seng1
切囑,cit3 zuk1
毛竹,mou4 zuk1
大祥,daai6 coeng4
季肋,gwai3 lak6
我依家,
科騷,fo1 sou1
一日最衰,
聲旁,sing1 pong4
紅粉石,
活動曲尺,wut6 dung6 kuk1 cek3
唔啱巧,m4 ngaam1 kiu2
亞跛,aa3 bai1
蜂王乳,fung1 wong4 jyu5
黃葦鳽,wong4 wai5 gin1
多層面,
何靜雅,ho4 zing6 ngaa5
排䞟,paai4 paak3
急性照射,gap1 sing3 ziu3 se6
雞蛋盞,gai1 daan6 zaan2
戰略戰術,
蹦蹦兒車,bang1 bang1 ji4 ce1
佢好鮓㗎,
茶芥全免,
露水夫妻,lou6 seoi2 fu1 cai1
迂執,jyu1 zap1
冪等,mik6 dang2
印戒,jan3 gaai3
鑰匙鏈,joek6 si4 lin2
炕頭,kong3 tau4
火眼金睛,fo2 ngaan5 gam1 zing1
有乜出奇,
行先喇,
萃文,
酸不溜秋,syun1 bat1 lau6 cau1
三絃琴,
警察總局,
家春秋,
通化縣,tung1 faa3 jyun6
開射,hoi1 se6
牙棒,
雙喜,soeng1 hei2
老衲,lou5 naap6
相山區,soeng1 saan1 keoi1
蒙巴薩,mung4 baa1 saat3
睇差少少,
黃鵬,wong4 paang4
就來深圳,
虎頭嶺,
日夜操勞,
空曬位,
油浸唔肥,
麻米,maa4 mai5
鶖鷺,cau1 lou6
體己,tai2 gei2
軍團菌病,gwan1 tyun4 kwan2 beng6
盤碗,pun4 wun2
涼了半截,loeng4 liu5 bun3 zit6
舀子,jiu5 zi2
有觸屏,
監頭,gaam1 tau2
銀州區,ngan4 zau1 keoi1
未同佢,
嘉祥縣,gaa1 coeng4 jyun6
移山志,ji4 saan1 zi3
脌頭,nin1 tau4
轉運棧,zyun2 wan6 zaan6
鐮鉤腳,lim4 ngau1 goek3
米納爾迪,mai5 naap6 ji5 dik6
扮癲扮傻,
跌跛腳,
你邊個,
五月茶,ng5 jyut6 caa4
臭蓋,cau3 goi3
嘈喧,
島根,dou2 gan1
有無帶,
古色,
金剛箍,
文化理論,
曠渺,kwong3 miu5
吉尼斯,gat1 nei4 si1
軟磁盤,jyun5 ci4 pun4
掛住你咯,
互射點球,
帕蒂爾,paak3 dai3 ji5
借課室,
雞渜,gai1 nan1
翠路茗茶,
南通地區,naam4 tung1 dei6 keoi1
秦篆,ceon4 syun6
企業承包,
心潮澎湃,sam1 ciu4 paang4 baai3
又推又㧬,
阿拉伯膠,aa3 laai1 baak3 gaau1
銅鼓縣,tung4 gu2 jyun6
擺蕩吊環,baai2 dong6 diu3 waan4
模糊論,
土門,tou2 mun4
精藝,
盧薩卡,lou4 saat3 kaa1
講笑㗎嘛,
鳳仙花,fung6 sin1 faa1
納星,naap6 sing1
藍屏死機,laam4 ping4 sei2 gei1
碧空,bik1 hung1
熱土,jit6 tou2
仂語,lak6 jyu5
唐縣,tong4 jyun6
憨居,
唔夠長,
公母倆,gung1 mou5 loeng5
沁陽,sam3 joeng4
俏貨,ciu3 fo3
笨瓜,ban6 gwaa1
黐食,
艾嘉門業,
天南海北,tin1 naam4 hoi2 bak1
點先咯,
富蘊縣,fu3 wan2 jyun6
唔該話聲,
齶部,ngok6 bou6
金撈,gam1 lou1
白礬,baak6 faan4
單峯,daan1 fung1
不穩平衡,bat1 wan2 ping4 hang4
配件加工,
抓緊學習,zaau2 gan2 hok6 zaap6
滄縣,cong1 jyun6
打腳骨,daa2 goek3 gwat1
領酒席,leng5 zau2 zik6
米歐,mai5 au1
鋸材,
周成王,zau1 sing4 wong4
轉導,zyun2 dou6
全英班,
投資區,
口齒生香,hau2 ci2 sang1 hoeng1
抽獎嗎,cau1 zoeng2 maa1
變速桿,bin3 cuk1 gon1
深圳好,
樸次茅斯,pok3 ci3 maau4 si1
噯氣嘔逆,oi2 hei3 au2 jik6
又關你事,
鹽巴,jim4 baa1
急需處理,
役畜,jik6 cuk1
茄萣鄉,ke2 ding6 hoeng1
唬爛,fu2 laan6
黃石港區,wong4 sek6 gong2 keoi1
閻魔,jim4 mo1
周時無日,zau1 si4 mou4 jat6
五形,ng5 jing4
咪賴貓,
圖軸,tou4 zuk6
下寮,
硬磁盤,ngaang6 ci4 pun2
深得人心,
稔仔,nim1 zai2
雅竹,
淘金潮,tou4 gam1 ciu4
滾㷫,gwan2 hing3
想做返次,
向壁虛造,hoeng3 bik1 heoi1 zou6
茶酒,caa4 zau2
富平縣,fu3 ping4 jyun6
窮困戶,
觀紀,gun1 gei2
打官話,daa2 gun1 waa6
興慶區,hing1 hing3 keoi1
聖洗,sing3 sai2
唔想架,
算罷了,
常言,soeng4 jin4
旅順港,leoi5 seon6 gong2
用戶層,
猛咁食,
眼困,
績溪縣,zik1 kai1 jyun6
易話爲嘅,
學習材料,
十畝田,
疑兵,ji4 bing1
衹留,
磚窯,zyun1 jiu4
三級蛙跳,
羣番,kwan4 faan1
花邊兒,faa1 bin1 ji4
蹈常襲故,dou6 soeng4 zaap6 gu3
金桂冠,gam1 gwai3 gun3
真係唔化,
違恩負義,wai4 jan1 fu6 ji6
筕篖,hang4 tong4
揼雞,dam3 gai1
琴劍飄零,kam4 gim3 piu1 ling4
爽然,song2 jin4
戴維斯杯,daai3 wai4 si1 bui1
給抓了,
若然之,joek6 jin4 zi1
地鐵總部,
原子杯,jyun4 zi2 bui1
掠魚,
順適,seon6 sik1
禍不旋踵,wo6 bat1 syun4 zung2
越秀前,jyut6 sau3 cin4
飫甘饜肥,jyu3 gam1 jim3 fei4
氣喘病,hei3 cyun2 beng6
醜下佢,cau2 haa5 keoi5
艾彌爾,ngaai6 mei4 ji5
逃荒,tou4 fong1
妗有,kam5 jau5
自我解嘲,zi6 ngo5 gaai2 zaau1
連枷胸,lin4 gaa1 hung1
湖口鄉,wu4 hau2 hoeng1
抓飯,zaau2 faan6
惡舌,ok3 sit3
後䪴薄,hau6 zam2 bok6
涮火鍋,saan3 fo2 wo1
吳玉章,ng4 juk6 zoeng1
屈頭,gwat6 tau4
補角,bou2 gok3
等待緊,
無密碼,mou4 mat6 maa5
退一步說,
嚇不倒,
幸運名門,
得住人,
銷鑠,siu1 soek3
氯單質,luk6 daan1 zat1
瞠大隻眼,
雜居,zaap6 geoi1
爆夾,baau3 gaap3
喜幛,hei2 zoeng3
岌嶪,kap1 jip6
週徑,zau1 ging3
武又唔得,
微安,mei4 on1
宜妳內衣,
喜鄰,
包封,baau1 fung1
自造詞,
過來廣州,
對陣圖,
荷蘭番茄,ho4 laan1 faan1 ke2
散腿褲,saan2 teoi2 fu3
嘸蝦米,m4 haa1 mai5
怒火萬丈,nou6 fo2 maan6 zoeng6
監織造,gaam1 zik1 zou6
好冇手尾,
好嘢呀,
陰陰溼溼,
青檸色,ceng1 ning2 sik1
秋蕙,
迴流焊,
電話無錢,
龍濤石材,
光掁掁,
陀手褦腳,
南岔區,naam4 caa3 keoi1
雞公山,gai1 gung1 saan1
藍領白領,
華容縣,waa4 jung4 jyun6
你幫手,
馳馬,ci4 maa5
見景生情,gin3 ging2 sang1 cing4
鵰具座,diu1 geoi6 zo6
閪冧,hai1 lam1
勤儉節約,kan4 gim6 zit3 joek3
桁桷,haang2 gok3
陸坡,luk6 bo1
假借義,gaa2 ze3 ji6
參謀總部,caam1 mau4 zung2 bou6
石匠癆,sek6 zoeng6 lou4
掹除,mang1 ceoi4
你行開,
鑽井平臺,zyun3 zeng2 ping4 toi4
摳着手掌,kau1 zoek6 sau2 zoeng2
花葉格子,faa1 jip6 gaak3 zi2
蒙古大夫,mung4 gu2 daai6 fu1
碌杉,luk1 caam3
有力措施,
軍法官,gwan1 faat3 gun1
抵華,dai2 waa4
焗到暈,
嚏噴,tai3 pan3
後半葉,hau6 bun3 jip6
扤牙,ngaat6 ngaa2
三星電器,
踉蹡,loeng6 coeng1
遺妻棄子,wai4 cai1 hei3 zi2
鞭蟲,bin1 cung4
文學思潮,
橡皮球,zoeng6 pei4 kau4
眼房水,ngaan5 fong4 seoi2
攪得埋欄,gaau2 dak1 maai4 laan1
𠻗啡,le4 fe4
幸喜,hang6 hei2
夤緣攀附,jan4 jyun4 paan1 fu6
肇慶人,
四庫,sei3 fu3
蕪繁,mou4 faan4
急性人,gap1 sing3 jan4
政權建設,
值域,zik6 wik6
好奇尚異,hou3 kei4 soeng6 ji6
借花敬佛,ze3 faa1 ging3 fat6
個盆咁細,
洗咗啲衫,
光檢測器,gwong1 gim2 caak1 hei3
曬熱頭,saai3 jit6 tau2
灕江情,
阿啞,aa3 ak1
你唔試下,
怎就,
員機,jyun4 gei1
亞利安娜,aa3 lei6 on1 naa4
悠游,jau1 jau4
多維數組,
搞不明,gaau2 bat1 ming4
畀我入,
順德風味,
大平特平,
都好喎,
陡崖,dau2 ngaai4
學我咁,
洋蘇,joeng4 sou1
麥納麥,mak6 naap6 mak6
驛城區,jik6 sing4 keoi1
瑤田,
閼氏,jin1 si6
