word,jyutping
唔同老師,
伏輸,fuk6 syu1
前鏡,
蕩起,
做定唔做,
產糧大省,caan2 loeng4 daai6 saang2
擦抹,caat3 mut3
甜竹,tim4 zuk1
撈雞,laau4 gai1
澳門監獄,
十五峯,
烏鵰鴞,wu1 diu1 hiu1
就曬,
佢實應承,
敲大背,haau1 daai6 bui3
收播,sau1 bo3
泰國寺,
咪住先,
摟多件褸,
春捲,ceon1 gyun2
岢嵐縣,ho2 laam4 jyun6
卡拉比拉,kaa1 laai1 bei2 laai1
啲嘢咁貴,
二十一日,ji6 sap6 jat1 jat6
偏振光,pin1 zan3 gwong1
同佢傾傾,
申根,san1 gan1
蛋酒,daan2 zau2
書生氣,syu1 sang1 hei3
鉛山縣,jyun4 saan1 jyun6
茶言觀色,
粉竇,fan2 dau3
小鵐,siu2 mou4
客家肉丸,
寬洪,fun1 hung4
碧瓦,bik1 ngaa5
死玩爛玩,
萬國郵聯,maan6 gwok3 jau4 lyun4
食住位,
忌羨,gei6 sin6
相繼問世,
謝靈運,ze6 ling4 wan6
噙晚,kam4 maan5
政治處,
減噉兩成,
普光明寺,
紗管,
閒在,haan4 zoi6
騎騎尼尼,
民法,man4 faat3
煩冤,faan4 jyun1
要幾錢,
特色特價,
保苗,bou2 miu4
阮明珠,jyun2 ming4 zyu1
殘廢軍人,caan4 fai3 gwan1 jan4
張僧繇,zoeng1 zang1 jau4
福厚,
潮州小炒,
楓景,
有數數,
氣腔,hei3 hong1
趼子,gin2 zi2
陪你哋,
推門而入,
摮鈴鈴,
招唔到,
引柴,jan5 caai4
輾米,zin2 mai5
帶炒,daai3 caau2
老搭擋,
撇開佢,
敵基督,dik6 gei1 duk1
興替,hing1 tai3
臭品,cau3 ban2
炮兒局,paau3 ji4 guk6
凝眸,jing4 mau4
饜足,jim3 zuk1
仲唔生性,
冇相干呀,
海鷗衛浴,
水門汀,seoi2 mun4 ting1
簸蕩,bo3 dong6
血姑,hyut3 gu1
尼姑庵,nei4 gu1 am1
牛腩面,
福柯,fuk1 o1
乃堆拉,naai5 deoi1 laai1
雨霽,jyu5 zai3
莫逆,mok6 jik6
晴時多雲,cing4 si4 do1 wan4
系列片,hai6 lit6 pin2
撫遠縣,fu2 jyun5 jyun6
牛肉米粉,
繁華盛世,
招投標,ziu1 tau4 biu1
打救我,
田夫仔,
隴西,lung5 sai1
嗰個爛仔,
油松,jau4 cung4
茄克衫,ke2 hak1 saam1
嘥氣嗍氣,
灰臉鵟鷹,fui1 lim5 kwong4 jing1
圖瓦盧,tou4 ngaa5 lou4
交得靚,
瑪仁糖,maa5 jan4 tong2
天貝,tin1 bui3
阿拉善,aa3 laai1 sin6
並蒂蓮,bing6 dai3 lin4
龜殼花,gwai1 hok3 faa1
凌凌林林,ling4 ling4 lam4 lam4
白翅百靈,baak6 ci3 baak3 ling4
赤手赤腳,
扯姩旗,ce2 nin1 kei4
超弦,ciu1 jin4
帶埋我,
騰出騰入,
頭泥,tau4 nai4
板邊,
海外僑胞,hoi2 ngoi6 kiu4 baau1
因住冷親,
秋獮,cau1 sin2
籌馬,cau4 maa5
晏平仲,aan3 ping4 zung6
夯具,haang1 geoi6
龍州縣,lung4 zau1 jyun6
敷陳,fu1 can4
戳心灌髓,coek3 sam1 gun3 seoi5
虔敬,kin4 ging3
無事啊,
性指向,sing3 zi2 hoeng3
鉛條,jyun4 tiu4
破約,po3 joek3
扳著臉,
犁頭咀,
見之實施,gin3 zi1 sat6 si1
抑且,jik1 ce2
脫氫,tyut3 hing1
暗綠柳鶯,am3 luk6 lau5 ang1
獻血者,hin3 hyut3 ze2
金竹,gam1 zuk1
有斤兩,
白䱽,baak6 coeng1
小師傅,
岳起,ngok6 hei2
反顛覆,
建新門閘,
要訓,
班地喱,baan1 dei6 lei1
咭仔,
宕昌,dong6 coeng1
妍珠,jin4 zyu1
無晒聊,
打包票,daa2 baau1 piu3
平南縣,ping4 naam4 jyun6
狗腿子,gau2 teoi2 zi2
鼻旁竇,bei6 pong4 dau6
嚴慈,jim4 ci4
共享盤,gung6 hoeng2 pun2
李适,lei5 kut3
馬龍縣,maa5 lung4 jyun6
奉新,fung6 san1
冧森,lam1 sam1
棕腹鶪鶥,zung1 fuk1 gwik1 mei4
昭覺縣,ciu1 gok3 jyun6
你好差啊,
褪腸頭,tan3 coeng2 tau4
烏石洞,
分餾塔,fan1 lau6 taap3
正鋒,zing3 fung1
顯花植物,hin2 faa1 zik6 mat6
做咩事呀,
出口調查,ceot1 hau2 diu6 caa4
紅頸濱鷸,hung4 geng2 ban1 wat6
唔會益人,
瘸腿,ke4 teoi2
字母粉,zi6 mou5 fan2
承望,sing4 mong6
戀色,
牛筋丸,
東南小吃,
杜衡,dou6 hang4
速勝,cuk1 sing3
麾軍,fai1 gwan1
烝黎,zing1 lai4
拉開戰幕,
餽遺,gwai6 wai6
白瓜,baak6 gwaa1
長者之家,
短簡,dyun2 gaan2
軍綠,gwan1 luk6
田頭,tin4 tau4
培土,pui4 tou2
亞福,aa3 fuk1
阿芒拿,aa3 mong4 naa4
等到瘦曬,
桂林人,
杜鵑座,dou6 gyun1 zo6
唞唔倒氣,
轟鳴,gwang1 ming4
北塘,bak1 tong4
挨憑,aai1 bang6
現金王,jin6 gam1 wong4
邊爐氣,bin1 lou4 hei3
撫順縣,fu2 seon6 jyun6
繁徵博引,faan4 zing1 bok3 jan5
紅花崗區,hung4 faa1 gong1 keoi1
唔想㗎,
阿瓦提,aa3 ngaa5 tai4
返屋企㗎,
白樸,baak6 pok3
老虎洞,
碧澄,
前郭縣,cin4 gwok3 jyun6
尤利西斯,jau4 lei6 sai1 si1
我輪班,
攙兌,caam1 deoi3
腳丫,goek3 aa1
疏率,so1 seot1
又點啊,
出唔到線,
二毛子,ji6 mou4 zi2
逸羣,jat6 kwan4
鄰右,leon4 jau6
褸尾,lau1 mei1
插值,caap3 zik6
側泳,zak1 wing6
華亭縣,waa4 ting4 jyun6
倫理學史,
打晒色,daa2 saai3 sik1
初哥哥,
取燈兒,ceoi2 dang1 ji4
驚佢唔肯,
遮住晒,
醜頸,cau2 geng2
眼線膠,
賈思勰,gaa2 si1 hip6
泡麪,paau3 min6
大種乞兒,daai3 zung2 hat1 ji1
城建監理,
矢誌,ci2 zi3
呢兩對,
三七仔,saam1 cat1 zai2
塗抹醬,tou4 mut3 zoeng3
砵櫃,but1 gwai6
禾穀,wo4 guk1
蔚起,wai3 hei2
矮胖,ai2 bun6
激情之夜,
營養物質,jing4 joeng5 mat6 zat1
策劃組,
幹諾道西,
秤錘,cing3 ceoi4
穎果,wing6 gwo2
麻陽縣,maa4 joeng4 jyun6
砂鍋米線,
國偵局,gwok3 zing1 guk6
擯斥,ban3 cik1
唔好再賣,
走趯,zau2 dek3
眼電圖,ngaan5 din6 tou4
白蔗,baak6 ze3
巢咪𠵼,caau4 mi1 mang1
檵木,gai3 muk6
藍歌鴝,laam4 go1 keoi4
疑義,ji4 ji6
執車,
兵痞,bing1 pei2
厄利垂亞,ak1 lei6 seoi4 aa3
押櫃,aat3 gwai2
