word,jyutping
掟石仔,
瘙癢病,sou3 joeng5 beng6
延文邨,
養魚缸,joeng5 jyu4 gong1
青神縣,cing1 san4 jyun6
夠挭,gau3 gaang3
名寵,
青蛙公主,
艾登堡,ngaai6 dang1 bou2
雞包仔,gai1 baau1 zai2
疑問式,
白眼珠兒,baak6 ngaan5 zyu1 ji4
孝昌,haau3 coeng1
浣滌,wun5 dik6
核戰斗部,hat6 zin3 dau2 bou6
江夏區,gong1 haa6 keoi1
橫斜,waang4 ce4
杵臼,cyu2 kau5
阿嘥文,aa3 saai1 man2
打鐵岃,
酪乳,lok3 jyu5
有數爲,jau5 sou3 wai4
巖畫,ngaam4 waa2
迭部,dit6 bou6
你霎戇啦,
咪怕,
賣剩腳,maai6 zing6 goek2
雀窩,
交辦,gaau1 baan6
霉薑,mui4 goeng1
你快來,nei5 faai3 loi4
擦澡,caat3 cou3
察隅縣,caat3 jyu4 jyun6
長洲人家,
都係噉講,
墨脫縣,mak6 tyut3 jyun6
倪嗣沖,ngai4 zi6 cung1
吉電子伏,gat1 din6 zi2 fuk6
爲人民,
陳德良,can4 dak1 loeng4
窗戶欞,coeng1 wu6 ling4
合扇,hap6 sin3
諸柘,zyu1 ze3
頭羊,tau4 joeng4
馬戛爾尼,maa5 gaat3 ji5 nei4
通天巴士,tung1 tin1 baa1 si2
一生一心,
品脫,ban2 tyut3
翦伯贊,zin2 baak3 zaan3
東豐,dung1 fung1
一個係噉,
永行電線,
前穿㞘漏,cin4 cyun1 dok1 lau6
羅鍋兒,lo4 wo1 ji4
鑼絲批,
以法蓮,ji5 faat3 lin4
刮粗龍,gwaat3 cou1 lung2
多米諾,do1 mai5 nok6
散田坑,
屎弗,
手工勞動,
半個多鐘,
厚報,hau5 bou3
油麥,jau4 mak6
高麗棒子,gou1 lai6 paang5 zi2
講笑嗻,
膽略,daam2 loek6
冇撚嘢,
高週波,
連山區,lin4 saan1 keoi1
不錯不錯,
機場邊檢,
八點開身,
搡牛黃,
佢好傾得,
皓齒明眸,hou6 ci2 ming4 mau4
驗資,jim6 zi1
雙曲正弦,soeng1 kuk1 zing3 jin4
小靚女,
艱苦創業,
找回我,
焗親人,
西豐,sai1 fung1
讀破,duk6 po3
着色噴畫,
叉頭,caa1 tau4
嗟怨,ze1 jyun3
勞動營,lou4 dung6 jing4
馬祖列島,maa5 zou2 lit6 dou2
深源地震,sam1 jyun4 dei6 zan3
東北佬,
濫觴,laam6 soeng1
靜思默想,
孝南,haau3 naam4
氣鳴樂器,hei3 ming4 ngok6 hei3
馬關縣,maa5 gwaan1 jyun6
鄂城區,ngok6 sing4 keoi1
渭濱,wai6 ban1
薄明,bok6 ming4
常青藤,soeng4 cing1 tang4
跑啦,
周寧,zau1 ning4
螢光屏,
應召入伍,
鼓點,gu2 dim2
絛蟲綱,tou1 cung4 gong1
竹織批蕩,zuk1 zik1 pai1 dong6
托克托縣,tok3 hak1 tok3 jyun6
褶皺山系,zip3 zau3 saan1 hai6
圖騰崇拜,tou4 tang4 sung4 baai3
秋征,cau1 zing1
石頭緣,
叨念,dou1 nim6
佢好醒瞓,
高陵縣,gou1 ling4 jyun6
係乜嚟㗎,
䂻死你,zaang6 sei2 nei5
假人像,gaa2 jan4 zoeng6
撞親邊個,
遵時養晦,zeon1 si4 joeng5 fui3
敲頭殼,
穿小鞋,cyun1 siu2 haai4
嗰個咯,
授獎,sau6 zoeng2
