word,jyutping
豬腰山,
黃泥頭,
紫菜卷,
瑞霞,
隱血,jan2 hyut3
大餸,daai6 sung3
三急,saam1 gap1
雷暴雨,
波瀾老成,bo1 laan4 lou5 sing4
山陽區,saan1 joeng4 keoi1
都晒氣,
靈泛,ling4 faan3
好似都係,
史黛西,si2 doi6 sai1
油邊,
阿達比爾,aa3 daat6 bei2 ji5
男孩女孩,
大飽福,daai6 baau2 fuk1
屌你媽屄,
掟死你,
時隔多日,
銀鷄,
桃汛,tou4 seon3
琴錘,kam4 ceoi4
鄉間印象,
新熱帶界,san1 jit6 daai3 gaai3
混打,
胞藻,baau1 zou2
捲鋪蓋,gyun2 pou1 goi3
真係恐怖,
打皇家工,daa2 wong4 gaa1 gung1
將軍肚子,zoeng1 gwan1 tou5 zi2
有勞得獎,jau5 lou4 dak1 zoeng2
山呼海嘯,
唔使多謝,
顯晶,hin2 zing1
山屋裏,
鴨利,aap2 lei6
跪毯,gwai6 taan2
一脈單傳,
三索線,saam1 sok3 sin3
屎竅,si2 kiu2
莊河,zong1 ho4
沒假放,
蜘蛛痣,zi1 zyu1 zi3
斷檔,tyun5 dong3
先創廣告,
文山區,man4 saan1 keoi1
大食漬,daai6 sik6 zik1
薩桑王朝,saat3 song1 wong4 ciu4
講到讀書,
圪墶,ngat6 daat3
龍亭區,lung4 ting4 keoi1
都唔想食,
電蒸鍋,din6 zing1 wo1
兵事,bing1 si6
家舅,gaa1 kau5
瑜迦,jyu4 gaa1
統考,tung2 haau2
要謊,jiu3 fong1
項目列表,
傾斜政策,
城陽,sing4 joeng4
開學啦,
解痛,gaai2 tung3
儀隴,ji4 lung5
伊犁河,ji1 lai4 ho4
透切,
模特隊,
鋪攤,pou1 taan1
誘掖,jau5 jik6
澈查,cit3 caa4
危若朝露,ngai4 joek6 ziu1 lou6
請調,cing2 diu6
產褥熱,caan2 juk6 jit6
說嘴,syut3 zeoi2
波束,bo1 cuk1
做咩咁,
種臍,zung2 ci4
士師記,si6 si1 gei3
香湯沐浴,hoeng1 tong1 muk6 juk6
將功折罪,zoeng1 gung1 zit3 zeoi6
中元普渡,zung1 jyun4 pou2 dou6
字元集,zi6 jyun4 zaap6
承聞,seng4 man4
玩點數,waan2 dim2 sou3
辭格,ci4 gaak3
牀舖,cong4 pou3
聽日見,
食指浩繁,sik6 zi2 hou6 faan4
法庫,faat3 fu3
錐套,zeoi1 tou3
你見到咩,
哀啓,oi1 kai2
六甲鄉,luk6 gaap3 hoeng1
叔祖母,suk1 zou2 mou5
牛噍牡丹,ngau4 ziu6 maau5 daan1
疼苦,
形象清新,
編譯好,
挪來,
公稱,gung1 cing1
臺墩,
漢陰,hon3 jam1
菌陳蒿,kwan2 can4 hou1
湯加里羅,tong1 gaa1 lei5 lo4
一般而論,
配伍,pui3 ng5
簌簌,cuk1 cuk1
淵淵,jyun1 jyun1
唔講又,
𨳍揈揈,cat6 fing6 fing6
餌線,nei6 sin3
紐埃,nau2 aai1
幾時過,
您提,
工薪階層,gung1 san1 gaai1 cang4
逡巡不前,seon1 ceon4 bat1 cin4
歐仁,au1 jan4
笑渦,siu3 wo1
斷賣,dyun3 maai6
洛川,lok3 cyun1
嬲咩嘢,
暢錢機,coeng3 cin2 gei1
錦屏古寺,
除曬衫褲,
派翠西亞,paai3 ceoi3 sai1 aa3
信息世界,
永新縣,wing5 san1 jyun6
依雲,ji1 wan4
唐山地區,tong4 saan1 dei6 keoi1
黑埋面,
孤立子,gu1 laap6 zi2
腦子生銹,nou5 zi2 saang1 sau3
三原縣,saam1 jyun4 jyun6
疏水簞瓢,so1 seoi2 daan1 piu4
早啲瞓吖,
榛仁兒,zeon1 jan4 ji4
石角咀,
黃麻布,
澀滯,sap1 zai6
湘楚,
烏什,wu1 sap6
靈語,ling4 jyu5
咁夜嘞,
血液癌,hyut3 jik6 ngaam4
憑仗,pang4 zoeng6
南坪,naam4 ping4
下不來臺,haa6 bat1 loi4 toi4
抄近兒,caau1 gan6 ji4
唔好勞氣,
安大略湖,on1 daai6 loek6 wu4
十二中,sap6 ji6 zung1
栽子,zoi1 zi2
伊尼特,ji1 nei4 dak6
正電流,zing3 din6 lau4
以饗讀者,ji5 hoeng2 duk6 ze2
法壓壺,faat3 aat3 wu2
楠西鄉,naam4 sai1 hoeng1
映眼,jing2 ngaan5
好訓,
破冰型艏,po3 bing1 jing4 sau2
舊嗰個,
重慶美食,
脊令,zek3 ling6
昭蘇縣,ciu1 sou1 jyun6
字根表,zi6 gan1 biu2
最高綱領,
龍珠臺,
急吼吼,gap1 haau1 haau1
光說不練,gwong1 syut3 bat1 lin6
皮薩餅,pei4 saat3 beng2
講得嚟,
延津,jin4 zeon1
九面體,gau2 min6 tai2
帖服,tip3 fuk6
怦然,ping1 jin4
啫啫雞,
論論儘儘,
死人喇,
睇化晒咯,
郅隆,zat6 lung4
刀鋒冷,
分手代理,fan1 sau2 doi6 lei5
你幾時去,
駕駛培訓,
半以上,bun3 ji5 soeng6
譖趙,cam3 ziu6
門階,mun4 gaai1
丘逢甲,jau1 fung4 gaap3
享名,hoeng2 ming4
秦州,ceon4 zau1
