word,jyutping
我都好凍,ngo5 dou1 hou2 dung3
聽唔切,ting1 m4 cit3
佢隔離,keoi5 gaak3 lei4
鬥鷄眼,dau3 gai1 ngaan5
晾蚊帳,long6 man1 zoeng3
食慣嘴,sik6 gwaan3 zeoi2
絕緣膠,zyut6 jyun4 gaau1
打機㗎,daa2 gei1 gaa2
好多喔,hou2 do1 ak1
著眼於,zyu3 ngaan5 jyu1
過完關,gwo3 jyun4 gwaan1
唔加入,m4 gaa1 jap6
騎住個勢,ke4 zyu6 go3 sai3
猛噉嗍氣,maang5 gam2 sok3 hei3
貼足,tip3 zuk1
主要人員,zyu2 jiu3 jan4 jyun4
玩臥底,waan4 ngo6 dai2
驛居,jik6 geoi1
牛肉拉麪,ngau4 juk6 laai1 min6
到香港了,dou2 hoeng1 gong2 liu5
你仲賴貓,nei5 zung6 laai3 maau1
廢廢哋,fai3 fai3 dei6
體育人物,tai2 juk6 jan4 mat2
好好食㗎,hou2 hou2 sik6 gaa2
吹到脹,ceoi1 dou2 zoeng3
大樓南翼,daai6 lau4 naam4 jik6
佛山了,fat6 saan1 liu5
佢大聲嗌,keoi5 daai6 seng1 aai3
咁光,gam3 gwong1
麻將臺,maa4 zoeng3 toi4
川鄉情,cyun1 hoeng1 cing4
睇乜鬼,tai2 mat1 gwai2
費事啦,fai3 si6 la1
抹下汗,maat3 haa5 hon4
早過你,zou2 gwo3 nei5
一大沓,jat1 daai6 daap6
有排執,jau5 paai2 zap1
都係要去,dou1 hai6 jiu3 heoi3
韓國妹,hon4 gwok3 mui6
因住鯁親,jan1 zyu6 kang2 can1
好夜了,hou2 je6 liu5
瘦瘦削削,sau3 sau3 soek3 soek3
佢好硬頸,keoi5 hou2 ngaang6 geng2
好厭倦,hou2 jim3 gyun6
冇得駁,mou5 dak1 bok3
唔識㩒,m4 sik1 gam6
唔記得嚹,m4 gei3 dak1 la4
二窩頭,ji6 wo1 tau4
我話冇呢,ngo5 waa6 mou5 le1
幾多錢呀,gei2 do1 cin2 aa4
公寓式,gung1 jyu6 sik1
啄穿,doek3 cyun1
秧坎,joeng1 ham2
送煤,sung3 mui4
自己去睇,zi6 gei2 heoi3 tai2
新高度,san1 gou1 dok6
千祈咪喐,cin1 kei4 mai5 juk1
大紅辣椒,daai6 hung4 laat6 ziu1
孭鍋,me1 wo1
得閒啦,dak1 haan4 la1
陷於絕境,haam6 jyu1 zyut6 ging2
大腳丫,daai6 goek3 aa1
咁瞭解,gam3 liu5 gaai2
就噉算咯,zau6 gam2 syun3 lok3
亦應如此,jik6 jing1 jyu4 ci2
從明年起,cung4 ming4 nin2 hei2
番禺人,pun1 jyu4 jan4
科學作業,fo1 hok6 zok3 jip6
天亮了,tin1 loeng6 liu5
拍拍拖,paak3 paak3 to1
乜也,mat1 jaa5
振一下,zan3 jat1 haa5
機場路口,gei1 coeng4 lou6 hau2
兩日啫,loeng2 jat6 ze1
同佢分手,tung4 keoi5 fan1 sau2
鴨乸,aap3 naa2
廣州地圖,gwong2 zau1 dei6 tou4
我大佬,ngo5 daai6 lou2
你仲記得,nei5 zung6 gei3 dak1
拎起身,ling1 hei2 san1
係你嗟,hai6 nei5 ze1
好慢啊,hou2 maan6 aa2
似你啊,ci5 nei5 aa3
偏輕,pin1 hing1
咁好相與,gam3 hou2 soeng1 jyu5
香港代購,hoeng1 gong2 doi6 kau3
拉拉聲,laai1 laai1 sing1
八百里,baat3 baak3 lei5
嘚嘁,dak1 cik1
打曬色,daa2 saai3 sik1
紙類,zi2 leoi6
嘈閉閉,cou4 bai3 bai3
中巴關係,zung1 baa1 gwaan1 hai6
熱蔗汁,jit6 ze3 zap1
倒吊砂煲,dou3 diu3 saa1 bou1
美髮設計,mei5 faat3 cit3 gai3
哭父死母,huk1 fu2 sei2 mou5
講笑啦,gong2 siu3 la1
喺乜嚟架,hai2 mat1 lai4 gaa3
益佢,jik1 keoi5
照相複印,ziu3 soeng2 fuk1 jan3
天滅中共,tin1 mit6 zung1 gung6
夠狼,gau3 long4
碌低就瞓,luk1 dai1 zau6 fan3
預編,jyu6 pin1
收傭,sau1 jung4
家電維修,gaa1 din6 wai4 sau1
你嘅乸,nei5 ge3 naa2
佢好厲害,keoi5 hou2 lai6 hoi6
我攞到,ngo5 lo2 dou2
咁大嘥㗎,gam3 daai2 saai1 gaa2
呢篇文章,nei1 pin1 man4 zoeng1
生態角,sang1 taai3 gok3
冚呯唥,kam2 ping4 laang6
