word,jyutping
阿梵達,aa3 faan4 daat6
阿狗阿貓,aa3 gau2 aa3 maau1
厄瓜多,aak1 gwaa1 do1
壓韻,aat3 wan5
曀熱,ai3 jit6
暗箱操作,am3 soeng1 cou1 zok3
把口唔修,baa2 hau2 m4 sau1
掰掰,baai1 baai1
敗德,baai6 dak1
敗柳殘花,baai6 lau5 caan4 faa1
百花怒放,baak3 faa1 nou6 fong3
百果,baak3 gwo2
百冇,baak3 mou5
百姿千態,baak3 zi1 cin1 taai3
八塊腹肌,baat3 faai3 fuk1 gei1
苞藏禍心,baau1 cong4 wo6 sam1
包頂頸,baau1 ding2 geng2
包茅,baau1 maau4
包活,baau1 wut6
包剪錘,baau1 zin2 ceoi4
飽經滄桑,baau2 ging1 cong1 song1
爆㿭,baau3 caak3
品鑒,ban2 gaam3
品繫,ban2 hai6
稟性,ban2 sing3
不孚衆望,bat1 fu1 zung3 mong6
不夠洗,bat1 gau3 sai2
不關痛癢,bat1 gwaan1 tung3 joeng5
不可估量,bat1 ho2 gu2 loeng6
不依不饒,bat1 ji1 bat1 jiu4
不厭其詳,bat1 jim3 kei4 coeng4
不讓鬚眉,bat1 joeng6 sou1 mei4
不信用,bat1 seon3 jung6
不識泰山,bat1 sik1 taai3 saan1
不成體統,bat1 sing4 tai2 tung2
不同以往,bat1 tung4 ji5 wong5
不知疲倦,bat1 zi1 pei4 gyun6
不足爲慮,bat1 zuk1 wai4 leoi6
跋山涉水,bat6 saan1 sip3 seoi2
悲切,bei1 cit3
比翼齊飛,bei2 jik6 cai4 fei1
髀罅,bei2 laa3
畀水沉死,bei2 seoi2 zam6 sei2
鼻梁,bei6 loeng4
病程,beng6 cing4
病征,beng6 zing1
碧海青天,bik1 hoi2 cing1 tin1
貶詞,bin2 ci4
藊豆,bin2 dau2
變化莫測,bin3 faa3 mok6 caak1
便閉,bin6 bai3
辯認,bin6 jing6
並蒂,bing6 dai3
彪馬,biu1 maa5
標新取異,biu1 san1 ceoi2 ji6
卜卜脹,bok1 bok1 zoeng3
寶刀不老,bou2 dou1 bat1 lou5
保荐,bou2 zin3
補足物,bou2 zuk1 mat6
佈告欄,bou3 gou3 laan4
半月瓣,bun3 jyut6 baan6
差遲,caa1 ci4
查點,caa4 dim2
茶朋酒友,caa4 pang4 zau2 jau5
踩死蟻,caai2 sei2 ngai5
測錘,caak1 ceoi4
饞涎欲滴,caam4 jin4 juk6 dik1
饞涎欲垂,caam4 jin4 juk6 seoi4
撐桿跳高,caang1 gon1 tiu3 gou1
牚檯腳,caang1 toi2 goek3
妻室,cai1 sat1
齊聚一堂,cai4 zeoi6 jat1 tong4
沉靜寡言,cam4 zing6 gwaa2 jin4
七嘴八張,cat1 zeoi2 baat3 zoeng1
溴化鉀,cau3 faa3 gaap3
臭腥,cau3 seng1
酬報,cau4 bou3
籌畫,cau4 waak6
青腫,ceng1 zung2
催產,ceoi1 caan2
吹牛拍馬,ceoi1 ngau4 paak3 maa5
取款機,ceoi2 fun2 gei1
隨波遜流,ceoi4 bo1 seon3 lau4
除大赤腳,ceoi4 daai6 cek3 goek3
除舊更新,ceoi4 gau6 gang1 san1
錘頭鯊,ceoi4 tau4 saa1
循俗,ceon4 zuk6
出言成章,ceot1 jin4 sing4 zoeng1
出其不備,ceot1 kei4 bat1 bei6
黐咩筋,ci1 me1 gan1
侈談,ci2 taam4
淺顯易懂,cin2 hin2 ji6 dung2
淺深,cin2 sam1
青紅皁白,cing1 hung4 zou6 baak6
請勿吸菸,cing2 mat6 kap1 jin1
逞威,cing2 wai1
掅起身,cing3 hei2 san1
埕埕䍇䍇,cing4 cing4 taap3 taap3
懲一儆百,cing4 jat1 ging2 baak3
情逾骨肉,cing4 jyu4 gwat1 juk6
切切私語,cit3 cit3 si1 jyu5
切身經驗,cit3 san1 ging1 jim6
悄無聲息,ciu2 mou4 sing1 sik1
坐井觀天,co5 zeng2 gun1 tin1
槍衣,coeng1 ji1
槍砲,coeng1 paau3
搶繮,coeng2 goeng1
唱本,coeng3 bun2
長春籐,coeng4 ceon1 tang4
詳和,coeng4 wo4
彩旦,coi2 daan2
彩頭,coi2 tau4
菜薳,coi3 jyun5
裁切,coi4 cit3
裁奪,coi4 dyut6
錯落有致,cok3 lok6 jau5 zi3
蒼鼠,cong1 syu2
倉黃,cong1 wong4
倉皇出逃,cong1 wong4 ceot1 tou4
敞篷車,cong2 pung4 ce1
藏經洞,cong4 ging1 dung6
牀薦,cong4 zin2
嘈亂巴閉,cou4 lyun6 baa1 bai3
沖壓,cung1 aat3
重操舊業,cung4 cou1 gau6 jip6
重起爐竈,cung4 hei2 lou4 zou3
重溫舊業,cung4 wan1 gau6 jip6
廚司,cyu4 si1
廚衛,cyu4 wai6
穿幫,cyun1 bong1
穿孔機,cyun1 hung2 gei1
全愈,cyun4 jyu6
咄咄,cyut3 cyut3
咄咄稱奇,cyut3 cyut3 cing1 kei4
打啞語,daa2 aa2 jyu5
打呼,daa2 fu1
打格子,daa2 gaak3 zi2
打個突兀,daa2 go3 dat6 ngat6
打估,daa2 gu2
打咭,daa2 kaat1
打混,daa2 wan6
打躓,daa2 zat6
打櫼,daa2 zim1
帶嶺,daai3 ling5
大才小用,daai6 coi4 siu2 jung6
大腹便便,daai6 fuk1 bin6 bin6
大姑姊,daai6 gu1 ze1
大㗇細,daai6 haa1 sai3
大限臨頭,daai6 haan6 lam4 tau4
大紅柿,daai6 hung4 ci2
大模屍樣,daai6 mou4 si1 joeng6
大蝻蛇,daai6 naam4 se4
大隻纍纍,daai6 zek3 leoi4 leoi4
膽大妄爲,daam2 daai6 mong5 wai4
澹定,daam6 ding6
單口相聲,daan1 hau2 soeng3 sing1
彈葯,daan6 joek6
搭縫,daap3 fung4
搭住膊,daap3 zyu6 bok3
抵減,dai2 gaam2
抵頸唔住,dai2 geng2 m4 zyu6
德欽,dak1 jam1
特起,dak6 hei2
耽時候,dam1 si4 hau6
揼揼轉,dam4 dam2 zyun3
登革病毒,dang1 gaak3 beng6 duk6
等軸晶系,dang2 zuk6 zing1 hai6
凸性,dat6 sing3
糾錯,dau2 co3
逗人喜愛,dau6 jan4 hei2 oi3
逗利事,dau6 lai6 si6
地心引力,dei6 sam1 jan5 lik6
訂書機,deng3 syu1 gei1
對鐘,deoi3 zung1
電氣工程,din6 hei3 gung1 cing4
電子信箱,din6 zi2 seon3 soeng1
澱積物,din6 zik1 mat6
訂書針,ding3 syu1 zam1
定閱,ding6 jyut6
定座率,ding6 zo6 leot2
叠手叠腳,dip6 sau2 dip6 goek3
啲咁啄,dit1 gam3 doek3
丟丑,diu1 cau2
彫刻,diu1 hak1
雕零,diu1 ling4
雕落,diu1 lok6
丟三拉四,diu1 saam1 laai6 sei3
雕謝,diu1 ze6
𨳒你鹵味,diu2 nei5 lou5 mei2
吊起來賣,diu3 hei2 loi4 maai6
吊泥鯭,diu3 nai4 maang1
掉掉揈,diu4 diu2 fing6
多元酯,do1 jyun4 zi2
蕩平,dong6 ping4
賭番攤,dou2 faan1 taan1
倒弄,dou2 lung6
倒栽蔥,dou2 zoi1 cung1
㧻口㧻鼻,duk1 hau2 duk1 bei6
獨具匠心,duk6 geoi6 zoeng6 sam1
獨樹一格,duk6 syu6 jat1 gaak3
獨往獨來,duk6 wong5 duk6 loi4
凍滾水,dung3 gwan2 seoi2
戙篤笑騷,dung6 duk1 siu3 sou1
端陽節,dyun1 joeng4 zit3
花花弗,faa1 faa1 fit1
花生漿,faa1 sang1 zoeng1
翻番,faan1 faan1
翻跟頭,faan1 gan1 tau4
反鋸齒,faan2 goe3 ci2
凡高,faan4 gou1
飯湯,faan6 tong1
發風,faat3 fung1
髮卡,faat3 kaa1
琺琅,faat3 long4
發喑話,faat3 ngam6 waa6
發騷,faat3 sou1
暉映,fai1 jing2
分付,fan1 fu6
瞓衫,fan3 saam1
焚香敬神,fan4 hoeng1 ging3 san4
飛發,fei1 faat3
菲捨爾,fei1 se2 ji5
飛石,fei1 sek6
肥皁劇,fei4 zou6 kek6
𢝵到漏油,fit1 dou3 lau6 jau2
火暴,fo2 bou6
放松管制,fong3 cung4 gun2 zai3
放浪不羈,fong3 long6 bat1 gei1
防範未然,fong4 faan6 mei6 jin4
撫躬自問,fu2 gung1 zi6 man6
褲𧟘,fu3 nong6
負擔者,fu6 daam1 ze2
灰蒙蒙,fui1 mung4 mung4
腹壁,fuk1 bik1
腹笥便便,fuk1 zi6 bin6 bin6
復核,fuk6 hat6
伏侍,fuk6 si6
風栗,fung1 leot2
豐韻,fung1 wan6
丰姿,fung1 zi1
縫絍,fung4 jam6
奉旨成婚,fung6 zi2 sing4 fan1
加油添醋,gaa1 jau4 tim1 cou3
家貲萬貫,gaa1 zi1 maan6 gun3
階梯計價,gaai1 tai1 gai3 gaa3
戒奢崇儉,gaai3 ce1 sung4 gim6
芥藍,gaai3 laam4
芥藍菜,gaai3 laam4 coi3
監人賴逅,gaam1 jan4 laai5 hau6
鑒察,gaam3 caat3
姦雄,gaan1 hung4
奸賴貓,gaan1 laai6 maau1
敆份,gaap3 fan2
合份送禮,gaap3 fan6 sung3 lai5
交保釋放,gaau1 bou2 sik1 fong3
交底,gaau1 dai2
搞機,gaau2 gei1
絞腦汁,gaau2 nou5 zap1
金錢袋,gam1 cin4 doi2
敢作敢當,gam2 zok3 gam2 dong1
咁盟塞,gam3 mang4 sak1
羹藜唅糗,gang1 lai4 ham4 cau3
鯁直,gang2 zik6
㓤喉,gat1 hau4
吉凶未卜,gat1 hung1 mei6 buk1
狗仗人勢,gau2 zoeng6 jan4 sai3
救贖主,gau3 suk6 zyu2
嘅嗻,ge3 ze1
嘰咕,gei1 gu1
幾次三番,gei2 ci3 saam1 faan1
杞國憂天,gei2 gwok3 jau1 tin1
擏惜,geng6 sek3
懼高症,geoi6 gou1 zing3
檢屍,gim2 si1
堅忍不拔,gin1 jan2 bat1 bat6
堅牢,gin1 lou4
見風使帆,gin3 fung1 sai2 faan4
荊芥,ging1 gaai3
徑賽,ging3 coi3
傑𠱂𠱂,git6 dat1 dat1
哥吉拉,go1 gat1 laai1
踞喀兵,goe1 gaa4 bing1
薑子牙,goeng1 zi2 ngaa4
該偎囉,goi1 wui1 lo3
改惡向善,goi2 ok3 hoeng3 sin6
各執所見,gok3 zap1 so2 gin3
綱舉目張,gong1 geoi2 muk6 zoeng1
講嚟話長,gong2 lei4 waa6 coeng4
港彎,gong2 waan1
高速擋,gou1 cuk1 dong3
高飛遠走,gou1 fei1 jyun5 zau2
告罪,gou3 zeoi6
孤負,gu1 fu6
孤孀,gu1 soeng1
雇傭,gu3 jung4
故弄,gu3 lung6
癐癩癩,gui6 laai4 laai4
掬水,guk1 seoi2
焗盅,guk6 zung1
鸛鳥,gun3 niu5
攻鼻揦脷,gung1 bei6 laa2 lei6
公文包,gung1 man4 baau1
公傷,gung1 soeng1
拱手旁觀,gung2 sau2 pong4 gun1
關門弟子,gwaan1 mun4 dai6 zi2
歸根結柢,gwai1 gan1 git3 dai2
鬼扯腳,gwai2 ce2 goek3
貴婦人,gwai3 fu5 jan4
骨灰罈,gwat1 fui1 taam4
骨骸,gwat1 haai4
骨瘦如豺,gwat1 sau3 jyu4 caai4
骨瘦如材,gwat1 sau3 jyu4 coi4
掘草皮,gwat6 cou2 pei4
裹包,gwo2 baau1
過家家,gwo3 gaa1 gaa1
過河拆橋,gwo3 ho4 caak3 kiu4
過一戙,gwo3 jat1 dung6
過勞肥,gwo3 lou4 fei4
國務次卿,gwok3 mou6 ci3 hing1
蜎入,gyun1 jap6
蜎山窿,gyun1 saan1 lung1
捲菸,gyun2 jin1
卷菸,gyun2 jin1
下旋削球,haa6 syun4 soek3 kau4
鞋拔,haai4 bat6
閒言碎語,haan4 jin4 seoi3 jyu5
閒冗,haan4 jung2
限界,haan6 gaai3
限界線,haan6 gaai3 sin3
銜冤,ham4 jyun1
撼天動地,ham6 tin1 dung6 dei6
哼哧,hang1 ci1
乞超,hat1 ciu1
乞憐,hat1 lin4
瞎眼,hat6 ngaan5
口快心直,hau2 faai3 sam1 zik6
口簧琴,hau2 wong4 kam4
後繼乏人,hau6 gai3 fat6 jan4
後臺硬朗,hau6 toi4 ngaang6 long5
後仔乸,hau6 zai2 naa2
後坐力,hau6 zo6 lik6
希奇古怪,hei1 kei4 gu2 gwaai3
希拉剋,hei1 laai1 hak1
希斯崙,hei1 si1 leon4
喜喜歡歡,hei2 hei2 fun1 fun1
喜新厭舊,hei2 san1 jim3 gau6
棄邪歸正,hei3 ce4 gwai1 zing3
虛警,heoi1 ging2
噓唏,heoi1 hei1
氫氧化物,hing1 joeng5 faa3 mat6
興師動衆,hing1 si1 dung6 zung3
輕窕,hing1 tiu5
輕嘴薄舌,hing1 zeoi2 bok6 sit6
徼倖,hiu1 hang6
徼幸,hiu1 hang6
可再生原,ho2 zoi3 sang1 jyun4
荷倌,ho4 gun1
向盤,hoeng3 pun4
開門受徒,hoi1 mun4 sau6 tou4
開綻,hoi1 zaan6
海誓山盟,hoi2 sai6 saan1 mang4
看風使舵,hon3 fung1 sai2 to4
喝叱,hot3 cik1
耗子,hou3 zi2
空口無憑,hung1 hau2 mou4 pang4
胸懷坦蕩,hung1 waai4 taan2 dong6
紅光滿面,hung4 gwong1 mun5 min6
紅堂堂,hung4 tong4 tong2
紅胡子,hung4 wu4 zi2
喧譁,hyun1 waa1
勸善懲惡,hyun3 sin6 cing4 ok3
血債血還,hyut3 zaai3 hyut3 waan4
也也烏,jaa4 jaa4 wu1
擪高褲腳,jaap3 gou1 fu3 goek3
曳嘢,jai5 je5
拽步,jai6 bou6
音步,jam1 bou6
陰錯陽差,jam1 co3 joeng4 caa1
陰曹地府,jam1 cou4 dei6 fu2
陰晦,jam1 fui3
陰陰寒,jam1 jam1 hon4
飲水飽,jam2 seoi2 baau2
任隨,jam6 ceoi4
忍垢偷生,jan2 gau3 tau1 sang1
隱顯,jan2 hin2
忍辱求全,jan2 juk6 kau4 cyun4
隱跡埋名,jan2 zik1 maai4 ming4
印跡,jan3 zik1
人急智生,jan4 gap1 zi3 sang1
人細詭大,jan4 sai3 gwai2 daai6
人心果,jan4 sam1 gwo2
人贓俱獲,jan4 zong1 keoi1 wok6
引玉之磚,jan5 juk6 zi1 zyun1
熠熠閃爍,jap1 jap1 sim2 soek3
入牆柜,jap6 coeng4 gwai6
一錢不值,jat1 cin4 bat1 zik6
一夜致富,jat1 je6 zi3 fu3
一言爲重,jat1 jin4 wai4 cung5
一語不發,jat1 jyu5 bat1 faat3
一望無垠,jat1 mong6 mou4 ngan4
一霎時,jat1 saap3 si4
一手遮天,jat1 sau2 ze1 tin1
一皇雙后,jat1 wong4 soeng1 hau6
一觸即潰,jat1 zuk1 zik1 kui2
一注香,jat1 zyu3 hoeng1
逸史,jat6 si2
優遊自在,jau1 jau4 zi6 zoi6
優哉悠哉,jau1 zoi1 jau4 zoi1
游行示威,jau4 hang4 si6 wai1
游船,jau4 syun4
有肩膀,jau5 gin1 bong2
有一牌,jau5 jat1 paai4
有蹺蹊,jau5 kiu2 kai1
又菸又酒,jau6 jin1 jau6 zau2
耶酥,je4 sou1
耶酥會,je4 sou1 wui2
惹火燒身,je5 fo2 siu1 san1
銳志,jeoi6 zi3
潤腸通便,jeon6 coeng4 tung1 bin6
潤溼,jeon6 sap1
衣冠不整,ji1 gun1 bat1 zing2
依牙鬆䚗,ji1 ngaa4 sung1 gong3
衣衣哎哎,ji4 ji1 aai4 aai4
移液器,ji4 jik6 hei3
疑問號,ji4 man6 hou6
以一馭萬,ji5 jat1 jyu6 maan6
以太網絡,ji5 taai3 mong5 lok6
二手菸,ji6 sau2 jin1
二跳四,ji6 tiu3 sei3
益趨,jik1 ceoi1
弋陽,jik6 joeng4
奄奄,jim1 jim1
淹尖,jim1 zim1
驗鈔器,jim6 caau1 hei3
煙花風月,jin1 faa1 fung1 jyut6
菸灰缸,jin1 fui1 gong1
菸灰盅,jin1 fui1 zung1
菸頭,jin1 tau2
嚥口水,jin3 hau2 seoi2
宴飲,jin3 jam2
衍伸,jin5 san1
