21點    jaa6 jat1 dim2
21三體綜合症    ji6 jat1 saam1 tai2 zung3 hap6 zing3
5p仔    ng5 pi1 zai2
7-11    cat1 sap6 jat1
88牌    baat3 baat3 paai4
AB膠    ei1 bi1 gaau1
AB制    ei1 bi1 zai3
AA膠    ei1 ei1 gaau1
AA制    ei1 ei1 zai3
A4紙    ei1 fo1 zi2
A貨     ei1 fo3
A圈兒   ei1 hyun1 ji4
A咖     ei1 kaa1
A-math  ei1 met1
A片     ei1 pin2
AV女優  ei1 vi1 neoi5 jau1
AV女郎  ei1 vi1 neoi5 long4
AV女優  ei1 wi1 neoi5 jau1
A站     ei1 zaam6
A仔     ei1 zai2
A準     ei1 zeon2
A字膊   ei1 zi6 bok3
A鐘     ei1 zung1
an機    en1 gei1
all-back        o1 bek1
bar-king        baa1 king1
Bang一聲        baang4 jat1 seng1
baby-fat        bei1 bi1 fet1
Ben士   ben1 si2
Ben屎   ben1 si2
Band仔  ben1 zai2
bet-bet bet4 bet4
bet-bet bet6 bet6
bell開  beu6 hoi1
bel開   beu6 hoi1
bi-bi-ba-ba     bi1 bi1 baa1 baa1
BB彈    bi1 bi1 daan2
BB機    bi1 bi1 gei1
bibu-bibu       bi1 bu3 bi1 bu3
bibu車  bi1 bu3 ce1
bibu-bibu       bi1 bu6 bi1 bu6
B超     bi1 ciu1
B型超聲 bi1 jing4 ciu1 sing1
B哩吧啦 bi1 li1 baa1 laa1
bi-li-ba-la     bi1 li1 baa1 laa1
B站     bi1 zaam6
B仔     bi1 zai2
B仔水   bi1 zai2 seoi2
bi-bi-ba-ba     bi4 bi1 baa4 baa4
BB車    bi4 bi1 ce1
BB牀    bi4 bi1 cong4
BB櫈    bi4 bi1 dang3
BB骨    bi4 bi1 gwat1
BB衫    bi4 bi1 saam1
BB話    bi4 bi1 waa2
BB仔    bi4 bi1 zai2
bi-bi-ba-ba     bi4 bi4 baa4 baa4
bi-li-ba-la     bi4 li1 baa4 laa4
bi-li-bek-lek   bi4 li1 bek4 lek4
bi-li-ba-la     bi4 li4 baa4 laa4
Big-4   bik1 fo1
Bing-Ling-Bang-Lang     bing4 ling1 baang4 laang4
body-check      bo1 di1 cek1
body-massage    bo1 di1 mat6 saa1 ci4
boxing油        bok1 sing2 jau4
Board-game      bot1 gem1
Bu你阿麼        bu4 ni2 aa3 mo1
bu你阿麼        bu4 ni5 aa3 mo1
boo-jark        bu4 zaak1
book機票        buk1 gei1 piu3
book唔到位      buk1 m4 dou2 wai2
book位  buk1 wai2
book酒店        buk1 zau2 dim3
boot機  but1 gei1
cha-cha caa1 caa4
chup一聲        cap6 jat1 seng1
check-out       cek1 au1
check下 cek1 haa5
check-in        cek1 jin1
cik-caat        cik4 caak4
cik-caat        cik4 caat4
cheap到痺       cip1 dou3 bei3
cheap嘢 cip1 je5
cheap精 cip1 zing1
chalk粉 cok1 fan2
chok-cheat      cok3 cit1
chok樣  cok3 joeng2
common-sense    kam1 man1
cut線   kat1 sin3
café    kat6 fei1
claim保險       kem1 bou2 him2
cam帶   kem1 daai2
camp-camp-哋    kem1 kem1 dei2
cam鍊   kem1 lin2
cam鏈   kem1 lin2
claim稅 kem1 seoi3
cap帽   kep1 mou2
cap水   kep1 seoi2
click入去       kik1 jap6 heoi3
cue卡   kiu1 kaat1
cue咭   kiu1 kaat1
cute-cute       kiu1 kiu1
call白車        ko1 baak6 ce1
call機  ko1 gei1
Call台  ko1 toi4
call台  ko1 toi4
Call鐘  ko1 zung1
C疊     si1 daap6
C眼     si1 ngaan5
C盤     si1 pun4
down機  daan1 gei1
dum雞   dam3 gai1
dup車   dap1 ce1
day-one dei1 wan1
D場     di1 coeng4
DNA鑒定 di1 en1 ei1 gaam3 ding6
di-di-de-de     di4 di4 de4 de4
due時   diu1 si4
dur皮   doe6 pei4
Do嘢    du1 je5
er都冇得er      e1 dou1 mou5 dak1 e1
e都冇得e        e1 dou1 mou5 dak1 e1
E仔     i1 zai2
E沖C    ji1 cung1 si1
EVA膠   ji1 wi1 ei1 gaau1
E仔     ji1 zai2
er都冇得er      nge1 dou1 mou5 dak1 nge1
foul出局        fau1 ceot1 guk6
Fact-check      fek1 cek1
fax機   fek1 si2 gei1
Friend過打band  fen1 gwo3 daa2 ben1
friend過打band  fen1 gwo3 daa2 ben1
friend過夾band  fen1 gwo3 gaap3 ben1
Fan屎   fen1 si2
fan屎   fen1 si2
free-size       fi1 saai1 si2
free晒士        fi1 saai1 si2
Fi-li-fe-le     fi4 li1 fe4 le4
fi-li-fe-le     fi4 li1 fe4 le4
fi-li-fe-le     fi4 li1 fek4 lek4
Fing霸  fing6 baa3
Fing頭場        fing6 tau4 coeng4
Fing頭丸        fing6 tau4 jyun2
fit到漏油       fit1 dou3 lau4 jau4
fit到漏油       fit1 dou3 lau6 jau2
guard臭 gaat1 cau3
Gut屎   gat1 si2
gas爐   ge1 si2 lou4
gap汁   gep1 zap1
gap-gap聲       gep4 gep2 seng1
get到   get1 dou2
Gurkha兵        goe1 gaa4 bing1
goet-goet聲     goet4 goet2 seng1
Google鼻        gu1 gou4 bei6
grant-loan      gwaan1 lung1
grant-loan      gwaang1 lung1
gel頭雀 zeu1 tau4 zoek2
G點     zi1 dim2
G弦褲   zi1 jin4 fu3
gym房   zim1 fong2
H股     ei1 cyu3 gu2
H漫     ei1 cyu3 maan6
high大咗        haai1 daai6 zo2
hi-fi   haai1 faai1
high卡士        haai1 kaa1 si2
high-tech       haai1 tek1
high-tea        haai1 ti1
hum-hum聲       ham4 ham2 seng1
hang機  heng1 gei1
Hap唔Happy呀    hep1 m4 hep1 pi2
Hap唔Happy呀    hep1 m4 hep1 pi2 aa3
hee-hee-hur-hur hi4 hi1 hoe4 hoe4
i雞寶   aai1 gai1 bou2
IQ題    aai1 kiu1 tai4
IT狗    aai1 ti1 gau2
in-charge       in1 caa1 zi6
In咗    in1 zo2
J圖     zei1 tou4
Jam嘢   zem1 je5
