word,jyutping
過家家,gwo3 gaa1 gaa1
過河拆橋,gwo3 ho4 caak3 kiu4
過一戙,gwo3 jat1 dung6
過勞肥,gwo3 lou4 fei4
國務次卿,gwok3 mou6 ci3 hing1
蜎入,gyun1 jap6
蜎山窿,gyun1 saan1 lung1
捲菸,gyun2 jin1
卷菸,gyun2 jin1
鞋拔,haai4 bat6
閒言碎語,haan4 jin4 seoi3 jyu5
閒冗,haan4 jung2
限界,haan6 gaai3
限界線,haan6 gaai3 sin3
含冤,ham4 jyun1
撼天動地,ham6 tin1 dung6 dei6
哼哧,hang1 ci1
乞超,hat1 ciu1
乞憐,hat1 lin4
瞎眼,hat6 ngaan5
口快心直,hau2 faai3 sam1 zik6
口簧琴,hau2 wong4 kam4
後繼乏人,hau6 gai3 fat6 jan4
後臺硬朗,hau6 toi4 ngaang6 long5
後仔乸,hau6 zai2 naa2
後坐力,hau6 zo6 lik6
稀奇古怪,hei1 kei4 gu2 gwaai3
喜喜歡歡,hei2 hei2 fun1 fun1
喜新厭舊,hei2 san1 jim3 gau6
棄邪歸正,hei3 ce4 gwai1 zing3
虛警,heoi1 ging2
氫氧化物,hing1 joeng5 faa3 mat6
興師動衆,hing1 si1 dung6 zung3
輕窕,hing1 tiu5
輕嘴薄舌,hing1 zeoi2 bok6 sit6
徼倖,hiu1 hang6
可再生源,ho2 zoi3 sang1 jyun4
荷官,ho4 gun1
向盤,hoeng3 pun4
開門受徒,hoi1 mun4 sau6 tou4
開綻,hoi1 zaan6
海誓山盟,hoi2 sai6 saan1 mang4
看風使舵,hon3 fung1 sai2 to4
喝叱,hot3 cik1
耗子,hou3 zi2
空口無憑,hung1 hau2 mou4 pang4
胸懷坦蕩,hung1 waai4 taan2 dong6
紅光滿面,hung4 gwong1 mun5 min6
紅堂堂,hung4 tong4 tong2
紅胡子,hung4 wu4 zi2
喧譁,hyun1 waa1
勸善懲惡,hyun3 sin6 cing4 ok3
血債血還,hyut3 zaai3 hyut3 waan4
擪高褲腳,jaap3 gou1 fu3 goek3
曳嘢,jai5 je5
拽步,jai6 bou6
音步,jam1 bou6
陰錯陽差,jam1 co3 joeng4 caa1
陰曹地府,jam1 cou4 dei6 fu2
陰晦,jam1 fui3
陰陰寒,jam1 jam1 hon4
飲水飽,jam2 seoi2 baau2
任隨,jam6 ceoi4
忍垢偷生,jan2 gau3 tau1 sang1
隱顯,jan2 hin2
忍辱求全,jan2 juk6 kau4 cyun4
隱跡埋名,jan2 zik1 maai4 ming4
印跡,jan3 zik1
人急智生,jan4 gap1 zi3 sang1
人細詭大,jan4 sai3 gwai2 daai6
人參果,jan4 sam1 gwo2
人贓俱獲,jan4 zong1 keoi1 wok6
引玉之磚,jan5 juk6 zi1 zyun1
熠熠閃爍,jap1 jap1 sim2 soek3
入牆柜,jap6 coeng4 gwai6
一錢不值,jat1 cin4 bat1 zik6
一夜致富,jat1 je6 zi3 fu3
一言爲重,jat1 jin4 wai4 zung6
一語不發,jat1 jyu5 bat1 faat3
一望無垠,jat1 mong6 mou4 ngan4
一霎時,jat1 saap3 si4
一手遮天,jat1 sau2 ze1 tin1
一皇雙后,jat1 wong4 soeng1 hau6
一觸即潰,jat1 zuk1 zik1 kui2
一注香,jat1 zyu3 hoeng1
逸史,jat6 si2
優遊自在,jau1 jau4 zi6 zoi6
優哉悠哉,jau1 zoi1 jau4 zoi1
游行示威,jau4 hang4 si6 wai1
游船,jau4 syun4
有肩膀,jau5 gin1 bong2
有一牌,jau5 jat1 paai4
有蹊蹺,jau5 kai1 kiu2
又菸又酒,jau6 jin1 jau6 zau2
耶穌,je4 sou1
耶穌會,je4 sou1 wui2
惹火燒身,je5 fo2 siu1 san1
銳志,jeoi6 zi3
潤腸通便,jeon6 coeng4 tung1 bin6
潤溼,jeon6 sap1
衣冠不整,ji1 gun1 bat1 zing2
依牙鬆䚗,ji1 ngaa4 sung1 gong3
咿咿哎哎,ji4 ji1 aai4 aai4
移液器,ji4 jik6 hei3
疑問號,ji4 man6 hou6
以一馭萬,ji5 jat1 jyu6 maan6
以太網絡,ji5 taai3 mong5 lok6
二手菸,ji6 sau2 jin1
二跳四,ji6 tiu3 sei3
益趨,jik1 ceoi1
弋陽,jik6 joeng4
奄奄,jim1 jim1
淹尖,jim1 zim1
驗鈔器,jim6 caau1 hei3
煙花風月,jin1 faa1 fung1 jyut6
菸灰缸,jin1 fui1 gong1
菸灰盅,jin1 fui1 zung1
菸頭,jin1 tau2
嚥口水,jin3 hau2 seoi2
宴飲,jin3 jam2
衍伸,jin5 san1
應諾,jing3 nok6
形容詞,jing4 jung4 ci4
迎新送舊,jing4 san1 sung3 gau6
認罪協商,jing6 zeoi6 hip3 soeng1
腰枕,jiu1 zam2
弱勢羣體,joek6 sai3 kwan4 tai2
氧化罐,joeng5 faa3 gun3
養家餬口,joeng5 gaa1 wu4 hau2
養老送終,joeng5 lou5 sung3 zung1
欲取姑與,juk6 ceoi2 gu1 jyu5
肉鬆,juk6 sung1
茸茸,jung4 jung4
淤青,jyu2 cing1
魚沉雁杳,jyu4 cam4 ngaan6 miu5
如法炮製,jyu4 faat3 paau3 zai3
魚夫,jyu4 fu1
愚氓,jyu4 man4
如醉如癡,jyu4 zeoi3 jyu4 ci1
乳臭,jyu5 cau3
羽化,jyu5 faa3
雨粉粉,jyu5 fan2 fan2
葾崩爛臭,jyun1 bang1 laan6 cau3
淵痛,jyun1 tung3
鉛筆芯,jyun4 bat1 sam1
原封,jyun4 fung1
元古宙,jyun4 gu2 zau6
完好無損,jyun4 hou2 mou4 syun2
炫燿,jyun4 jiu6
原芯筆,jyun4 sam1 bat1
沿灘區,jyun4 taan1 keoi1
元天屯,jyun4 tin1 tyun4
軟腳蝦,jyun5 goek3 haa1
眩耀,jyun6 jiu6
月圓花好,jyut6 jyun4 faa1 hou2
月子病,jyut6 zi2 beng6
坎坎糊,kaan2 kaan2 wu2
卡債,kaat1 zaai3
啓運,kai2 wan6
禁諗,kam1 nam2
勤儉建國,kan4 gim6 gin3 gwok3
勤勞者,kan4 lou4 ze2
扣女,kau3 neoi5
祈福禳災,kei4 fuk1 joeng4 zoi1
徛起身,kei5 hei2 san1
徛位,kei5 wai2
𠽤手,kik1 sau2
傾听,king1 ting1
翹翹板,kiu4 kiu4 baan2
繞絲底,kiu5 si1 dai2
抗憂鬱藥,kong3 jau1 wat1 joek6
抗精神病,kong3 zing1 san4 beng6
曲棍,kuk1 gwan3
窺測,kwai1 cak1
規率,kwai1 leot2
規正,kwai1 zing3
困窮,kwan3 kung4
羣情,kwan4 cing4
曠職,kwong3 zik1
惓惓,kyun4 kyun4
闕失,kyut3 sat1
揦口揦面,laa2 hau2 laa2 min6
懶腰,laan5 jiu1
唥衫,laang1 saam1
冷颼颼,laang5 sau1 sau1
擸炩,laap3 ling3
立腳,laap6 goek3
蠟療,laap6 liu4
蠟梅,laap6 mui4
拉雜,laap6 zaap6
撈閪,laau1 hai1
禮義,lai5 ji6
厲目而視,lai6 muk6 ji4 si6
淋球菌,lam4 kau4 kwan2
甩下爬,lat1 haa6 paa4
流覽,lau4 laam5
留連忘返,lau4 lin4 mong4 faan2
離家別井,lei4 gaa1 bit6 zeng2
厘金,lei4 gam1
里程表,lei5 cing4 biu2
利息率,lei6 sik1 leot2
僆女,leng1 neoi2
屢禁不絕,leoi5 gam3 bat1 zyut6
旅遊團隊,leoi5 jau4 tyun4 deoi6
歷法,lik6 faat3
歷經滄桑,lik6 ging1 cong1 song1
歷盡艱難,lik6 zeon6 gaan1 naan4
臉盲症,lim5 maang4 zing3
臉皮厚,lim5 pei4 hau5
鍊爆春袋,lin2 baau3 ceon1 doi2
連汁撈埋,lin4 zap1 lou1 maai4
連續集,lin4 zuk6 zaap6
煉乳,lin6 jyu5
煉字,lin6 zi6
軨冚,ling1 kam2
另請高明,ling6 cing2 gou1 ming4
烈火乾柴,lit6 fo2 gon1 caai4
捩咁棄,lit6 gam3 hei3
镽細,liu1 sai3
囉攣,lo1 lyun1
略奪,loek6 dyut6
良家女子,loeng4 gaa1 neoi5 zi2
兩勼,loeng5 kau1
落草爲寇,lok6 cou2 wai4 kau3
樂以忘憂,lok6 ji5 mong4 jau1
啷當,long1 dong1
𠺘口,long2 hau2
老姥,lou5 lou5
老年癡獃,lou5 nin4 ci1 ngoi4
老少無欺,lou5 siu3 mou4 hei1
露蟹,lou6 haai5
露袒,lou6 taan2
碌碌半生,luk1 luk1 bun3 sang1
綠帽子,luk6 mou2 zi2
六神,luk6 san4
錄象,luk6 zoeng6
龍頭蛇尾,lung4 tau4 se4 mei5
籠絡人心,lung5 lok3 jan4 sam1
籠籠統統,lung5 lung5 tung2 tung2
唔夠埞方,m4 gau3 deng6 fong1
唔聲唔氣,m4 seng1 m4 hei3
媽眯,maa1 mi1
麻痘,maa4 dau2
馬爾地夫,maa5 ji5 dei6 fu1
