char,fq
B,1995
の,30
㗎,937
一,40991
一下,939
一再,21
一切,499
一刻,420
一半,166
一啲,448
一場,130
一定,1572
一度,90
一方,225
一方面,160
一日,622
一時,314
一時間,81
一步步,15
一生,148
一直,991
一眼,122
一絲,107
一言不發,6
一貫,46
一邊,664
一齊,1109
丈,54
丈夫,21
三,2897
三途川,1
上,8125
上前,24
上天,95
上年,58
上門,21
上面,666
下,8787
不,12280
不利,28
不可,337
不單,49
不單止,12
不幸,58
不復,18
不斷,539
不時,44
不朽,20
不爭,6
不盡,20
不禁,44
不計其數,11
不論,139
不足,105
不過,2395
世,2900
世界,1595
世間,52
並,852
中,6408
中午,11
中間,217
主,2231
主任,72
久,270
之,7947
之上,46
之下,197
之中,256
之前,843
之後,1824
之間,534
之際,103
乎,1454
乜,1961
也,1034
乾,276
乾淨,63
亂,866
了,2224
予,64
事,6368
二,2052
五,1284
亞,295
亡,260
交,1080
交代,65
亦,3406
亦都,1302
京,105
亮,145
人,26038
人命,36
人種,8
人間,73
人魚,3
仇,109
今,2757
今後,2
今日,1080
今次,596
仔,4133
他,2430
付,299
付出,135
代,1894
代替,35
令,1786
令到,520
以,13968
以來,50
以嚟,57
以為,993
仲,5285
仲有,1321
任,1493
任人魚肉,1
任何,713
任務,103
份,1618
份外,27
仿,43
仿製,1
企,1744
伏,154
估,993
似,4078
似乎,486
但,9923
佈,160
低,1720
住,7046
何,1671
何人,117
作,2932
作為,364
你,24291
佢,21301
佢哋,1391
佩,45
佩服,33
使,1247
使得,2
來,4493
來信,15
來生,9
依,3509
依家,2834
依然,253
係,58811
係呢,781
係咁,1767
係咩,550
係咪,1366
保,960
保存,31
保重,12
信,2060
信紙,8
俱,56
個,26508
個人,1958
個月,381
倍,118
倒,517
倖,22
候,1614
值,759
偉,287
偉大,127
偏,432
偏偏,135
偏差,4
做,7650
做到,341
停,583
停低,61
健,185
偶,145
偶然,33
偷,362
備,437
傳,1111
傳世,9
傳出,31
傳奇,26
傳神,12
傷,544
傷心,50
傷者,8
傾,662
僅,105
僥倖,10
價,822
價值,303
儀,145
儘,43
儘管,30
先,5490
先生,284
先至,298
光,1223
克,131
免,472
免得,8
兒,501
兒子,21
入,4774
入口,72
入神,10
內,1048
內文,9
全,3531
全國,28
全部,565
全體,18
兩,3245
共,759
共同,80
兵,273
兵力,2
兵器,7
其,6446
其他,1459
其實,3377
冇,3609
冇人,249
再,4918
再次,149
再生,9
再見,120
冷,638
冷淡,24
冷艷,1
冷靜,141
凋,7
凜,22
凝,64
凝視,16
凡,174
凸,47
凹,19
凹凸,3
出,9440
出世,100
出名,98
出嚟,941
出發,111
刀,339
切,890
切開,4
列,400
初,816
別,1082
利,1134
到,18759
到達,25
制,829
制空權,2
刻,2204
刻意,87
前,3699
前人,44
前線,42
前面,201
剎,83
剎那,67
剛,174
剛剛,25
剩,251
剩返,20
副,288
劃,287
力,3171
功,857
加,2498
劣,107
劣勢,6
助,278
努,376
努力,354
勇,239
勇士,9
勇氣,86
勉,119
勉強,68
動,2497
動員,24
務,493
勝,346
勝負,33
勢,573
化,1626
化為,22
化身,18
匠,24
匠心獨運,4
十,3056
千,1045
千古,14
升,644
升天,1
午,167
半,1094
半夜,23
印,456
即,3380
即使,345
即將,57
原,2235
原型,3
去,10627
參,415
參加,97
參差,3
參軍,2
又,8421
及,898
友,2962
反,2153
反問,24
反而,455
叔,605
叔叔,56
受,1716
受到,225
口,3069
古,574
句,2243
另,1268
另一,801
另一方面,81
只,5601
只係,2479
只會,246
只有,404
只能,206
只要,646
叫,3281
召,58
可,11402
可以,6837
可憐,82
可能,2402
史,818
史上,45
右,404
各,805
各種,139
各自,96
合,1427
合照,9
吉,119
同,14465
同一,419
同人,188
同樣,249
名,1846
名列前茅,4
