char,jp
㒓數,taat3 sou3
㓟皮,pai1 pei4
㓟菠蘿皮,pai1 bo1 lo4 pei4
㓟蘋果,pai1 ping4 gwo2
㓟鉛筆,pai1 jyun4 bat1
㓤個窿,
㓤傷,gat1 soeng1
㓤出血,gat1 ceot1 hyut3
㓤咗,
㓤喉,gat1 hau4
㓤肉,gat1 juk6
㓤親,gat1 can1
㓤親手,gat1 can1 sau2
㓤針,
㕵㕵狗,wau1 wau1 gau2
㗇㗇霸霸,haa1 haa1 baa3 baa3
㗇人,haa1 jan4
㗇人㗇物,haa1 jan4 haa1 mat6
㗇得就㗇,haa1 dak1 zau6 haa1
㗎你,gaa3 nei5
㗎佬,gaa4 lou2
㗎去,
㗎喇咩,ga3 la3 me1
㗎喇噃,ga3 la3 bo3
㗎喔,
㗎嗟,
㗎嘞咩,ga3 la3 me1
㗎文,gaa4 man2
㗎旁邊,
㗎頭,gaa4 tau4
㗱㗱聲,
㗲㗲,waak1 waak1
㗾㗾聲,hoe4 hoe2 seng1
㗾哆,hoe1 doe1
㙟東,long5 dung1
㙟西,long5 sai1
㚻奸,gai1 gaan1
㜺鬼,zaan2 gwai2
㞎㞎,baa2 baa2
㞓人,hai1 jan4
㞓冧,hai1 lam1
㞓口㞓面,hai1 hau2 hai1 min6
㞓吱,hai1 zi1
㞓晒,hai1 saai3
㞓毛,hai1 mou4
㞓水,hai1 seoi2
㞓窿,hai1 lung1
㞓聲,hai1 seng1
㞓面,hai1 min6
㞓驚,hai1 geng1
㞓鬼,hai1 gwai2
㞓魂,hai1 wan4
㞓魂失,hai1 wan4 sat1
㞗屎,gau1 si2
㞘㞘,duk1 duk1
㞘㞘車,duk1 duk1 ce1
㞘底,duk1 dai2
㢥旗,dung6 kei4
㢥起牀板,dung6 hei2 cong4 baan2
㤿憸,jim1 zim1
㤿憸腥悶,jim1 zim1 seng1 mun6
㧬人,ung2 jan4
㧬冧,
㧬歪,
㧬火,ung2 fo2
㧬落,ung2 lok6
㧬跌,
㧬開,ung2 hoi1
