## 港鐵路線 (現行路線)
機場快綫
荃灣綫
觀塘綫
東涌綫
港島綫
# 高速鐵路 見 jyut6ping3.dict.yaml
# 東鐵綫 見 jyut6ping3.dict.yaml

## 港鐵路線 (舊路線)
# 西鐵綫 見 jyut6ping3.dict.yaml
# 馬鞍山綫 見 jyut6ping3.dict.yaml
# 東鐵 見 jyut6ping3.dict.yaml
# 西鐵 見 jyut6ping3.dict.yaml
# 馬鐵 見 jyut6ping3.dict.yaml
# 九廣東鐵 見 jyut6ping3.dict.yaml
# 九廣西鐵 見 jyut6ping3.dict.yaml
# 九廣馬鐵 見 jyut6ping3.dict.yaml

## 港鐵路線 (項目)
九龍南綫
修正早期系統
兩鐵合併
將軍澳南支綫
尖沙咀支線
沙中綫
港島綫西延
觀塘綫延綫

## 港鐵站 (XX港鐵站)
上水港鐵站
上環港鐵站
中環港鐵站
九龍塘港鐵站
九龍港鐵站
九龍灣港鐵站
佐敦港鐵站
何文田港鐵站
元朗港鐵站
兆康港鐵站
利東港鐵站
北角港鐵站
南昌港鐵站
博覽館港鐵站
啟德港鐵站
土瓜灣港鐵站
坑口港鐵站
堅尼地城港鐵站
大圍港鐵站
大埔墟港鐵站
大學港鐵站
大水坑港鐵站
大窩口港鐵站
天后港鐵站
天水圍港鐵站
太古港鐵站
太和港鐵站
太子港鐵站
奧運港鐵站
宋皇港鐵站
寶琳港鐵站
將軍澳港鐵站
尖東港鐵站
尖沙咀港鐵站
屯門港鐵站
康城港鐵站
彩虹港鐵站
恆安港鐵站
旺角東港鐵站
旺角港鐵站
會展港鐵站
朗屏港鐵站
杏花邨港鐵站
東涌港鐵站
柯士甸港鐵站
柴灣港鐵站
樂富港鐵站
機場港鐵站
欣澳港鐵站
沙田圍港鐵站
沙田港鐵站
油塘港鐵站
油麻地港鐵站
海怡半島港鐵站
海洋公園港鐵站
深水埗港鐵站
灣仔港鐵站
火炭港鐵站
炮台山港鐵站
烏溪沙港鐵站
牛頭角港鐵站
石硤尾港鐵站
石門港鐵站
第一城港鐵站
筲箕灣港鐵站
粉嶺港鐵站
紅磡港鐵站
羅湖港鐵站
美孚港鐵站
荃灣港鐵站
荃灣西港鐵站
荔景港鐵站
荔枝角港鐵站
落馬洲港鐵站
葵興港鐵站
葵芳港鐵站
藍田港鐵站
西灣河港鐵站
西營盤港鐵站
觀塘港鐵站
調景嶺港鐵站
車公廟港鐵站
迪士尼港鐵站
金鐘港鐵站
銅鑼灣港鐵站
錦上路港鐵站
鑽石山港鐵站
長沙灣港鐵站
青衣港鐵站
顯徑港鐵站
香港大學港鐵站
香港港鐵站
馬場港鐵站
馬鞍山港鐵站
鰂魚涌港鐵站
黃埔港鐵站
黃大仙港鐵站
黃竹坑港鐵站

## 港鐵站 (XX鐵路站)
上環鐵路站
中環鐵路站
佐敦鐵路站
何文田鐵路站
利東鐵路站
北角鐵路站
博覽館鐵路站
啟德鐵路站
土瓜灣鐵路站
坑口鐵路站
堅尼地城鐵路站
大水坑鐵路站
天后鐵路站
天水圍鐵路站
太古鐵路站
宋皇鐵路站
寶琳鐵路站
將軍澳鐵路站
尖東鐵路站
尖沙咀鐵路站
康城鐵路站
恆安鐵路站
會展鐵路站
朗屏鐵路站
杏花邨鐵路站
柯士甸鐵路站
柴灣鐵路站
樂富鐵路站
機場鐵路站
欣澳鐵路站
沙田圍鐵路站
油麻地鐵路站
海怡半島鐵路站
海洋公園鐵路站
深水埗鐵路站
灣仔鐵路站
炮台山鐵路站
石門鐵路站
筲箕灣鐵路站
羅湖鐵路站
荃灣西鐵路站
落馬洲鐵路站
西灣河鐵路站
西營盤鐵路站
調景嶺鐵路站
車公廟鐵路站
迪士尼鐵路站
銅鑼灣鐵路站
顯徑鐵路站
香港大學鐵路站
香港鐵路站
馬場鐵路站
馬鞍山鐵路站
鰂魚涌鐵路站
黃埔鐵路站
黃竹坑鐵路站

## 港鐵站 (XX站)
上環站
中環站
何文田站
兆康站
利東站
北角站
博覽館站
啟德站
土瓜灣站
堅尼地城站
大水坑站
大窩口站
天后站
宋皇臺站
寶琳站
尖東站
尖沙咀站
康城站
會展站
杏花邨站
東涌站
樂富站
機場站
油塘站
油麻地站
海怡半島站
海洋公園站
炮台山站
美孚站
落馬洲站
西營盤站
車公廟站
迪士尼站
鑽石山站
顯徑站
香港大學站
馬場站
黃大仙站
黃竹坑站

## 港鐵站 (東鐵綫 - XX東鐵站)
落馬洲東鐵站
羅湖東鐵站
上水東鐵站
粉嶺東鐵站
太和東鐵站
大埔墟東鐵站
大學東鐵站
馬場東鐵站
火炭東鐵站
沙田東鐵站
大圍東鐵站
九龍塘東鐵站
旺角東東鐵站
紅磡東鐵站

## 港鐵站 (東鐵綫 - XX火車站)
落馬洲火車站
大埔墟火車站
馬場火車站
大圍火車站
旺角東火車站

## 港鐵站 (西鐵綫 - XX西鐵站)
天水圍西鐵站
美孚西鐵站
南昌西鐵站
柯士甸西鐵站
尖東西鐵站
紅磡西鐵站

## 港鐵站 (馬鐵站)
馬鞍山馬鐵站
恆安馬鐵站
大水坑馬鐵站
石門馬鐵站
第一城馬鐵站
沙田圍馬鐵站
車公廟馬鐵站
大圍馬鐵站

## 高鐵站
西九龍站
西九龍高鐵站
香港西九龍站

## 港鐵車廠
港鐵車廠
何東樓車廠
柴灣車廠
小蠔灣車廠
將軍澳車廠
八鄉車廠
大圍車廠
黃竹坑車廠
屯門車廠

## 港鐵列車停放處
列車停放處
紅磡列車停放處
石崗列車停放處

## 港鐵巴士車廠
港鐵巴士車廠
屯門巴士廠
大埔巴士廠
洪水橋巴士廠

## 港鐵臨時車廠
西灣河臨時車廠
美孚臨時車廠

## 港鐵列車
港鐵市區綫現代化列車
港鐵迪士尼綫現代化列車
港鐵市區綫韓製列車
港鐵市區綫中國製列車
港鐵南港島綫中國製列車
港鐵市區綫願景列車
港鐵中車四方電動列車
港鐵機場鐵路列車
港鐵東涌綫韓製列車
港鐵機場鐵路願景列車
港鐵中期翻新列車
港鐵近畿川崎列車
港鐵東鐵綫現代列車
港鐵屯馬綫中國製列車
港鐵動感號高速電動列車

## 政治詞彙
三權分立
中港區間
五大訴求
人大釋法
仲量行
光復上水
光復屯公
光復香港
光時旗
前立法會議員
區選
反修例運動
反送中運動
取消功能組別
台灣獨立
台獨
向香港警察致敬
周庭
和勇不分
哭撚咗成晚
唯一出路
問責局長
國師
土地大辯論
在外港人
城邦會戰勝歸來
城邦論
基進黨
大中華膠
大外宣
大渣哥
天滅中共
娜娜
孽瘤
守護香港
尋釁滋事
小圈子選舉
尖沙咀肥媽
幫港出聲
康復香港
廿三條
忠義民團
愛港力量
支聯會
政治分贓
時代垃圾
時代抗疫
時代革命
時聞香港
晴天林
本土派
柒婆
梁天琦
梁繼平
民族界線
民族自決
民進黨
氣象巴打
流亡當地
港人講地
港大才女
滋事分子
熱狗
熱血公民
特權法
生仔救國
生仔救港
白滑長腿
維尼
缺一不可
羅冠聰
習大大
老豆搵仔
耶穌龍門陣
自由花
華記正能量
蔡英文
行政吸納政治
行政會議
行政會議非官守成員
見字飲水
親子王國
警察城市
連登
限奶令
限聚令
陳雲
集會現場
雜物堵路
離地中產
願榮光歸香港
香港曱甴
香港民族論
香港獨立
高登音樂台
高調支持
鬥黃
黃之鋒
黃店
點都唔割
黨安法
龍門冰室
駐台經濟文化辦事處
澳門又贏
炸彈威脅
劫機行為
實施制裁
皇漢
民意授權
一貫作風
好撚鍾意香港
我真係好撚鍾意香港
你可以打我了
觀塘老母
蘋果日報
立場新聞
白粉報
預判
今日份
殘忍嗜殺

## 肺炎相關
不打針羞恥論
國藥
復必泰
揩中
新冠病毒
武漢肺炎
武肺
深喉唾液
肛拭子
譚德賽

## 18+
深喉
大屌
露烏
慢慢掃落腰
敏感位
好淫
淫樣
淫閪
出晒水
