word,jyutping
罨耷,ap1 dap1
百合子,baak3 hap6 zi2
扮裝,baan6 zong1
稟賦,ban2 fu3
不結果,bat1 git3 gwo2
筆心,bat1 sam1
不象話,bat1 zoeng6 waa6
拔海,bat6 hoi2
畀夜作晝,bei2 je6 zok3 zau3
冰激淩,bing1 gik1 ling4
冰激凌,bing1 gik1 ling4
滮汗,biu1 hon6
波蕩,bo1 dong6
煲菸,bou1 jin1
補集,bou2 zaap6
暴冷暴熱,bou6 laang5 bou6 jit6
蠶蔟,caam4 cuk1
臭九,cau3 gau1
臭屎密𠖫,cau3 si2 mat6 kam2
吹式士風,ceoi1 sik1 si6 fung1
除冰,ceoi4 bing1
出嚟趁,ceot1 lai4 can3
出貓仔,ceot1 maau1 zai2
馳龍科,ci4 lung4 fo1
慈眉善眼,ci4 mei4 sin6 ngaan5
潛水夫症,cim4 seoi2 fu1 zing3
錯角,co3 gok3
槍閂,coeng1 saan1
長班車,coeng4 baan1 ce1
粗鹵,cou1 lou5
充填物,cung1 tin4 mat6
重疊疊,cung2 dap6 dap6
塚中枯骨,cung2 zung1 fu1 gwat1
打䭤,daa2 hin3
打鑊堅,daa2 wok6 gin1
戴月披星,daai3 jyut6 pei1 sing1
大本鐘,daai6 bun2 zung1
抵屌卡,dai2 diu2 kaat1
得把牙,dak1 baa2 ngaa4
德國酸菜,dak1 gwok3 syun1 coi3
燈盞,dang1 zaan2
兜下爬,dau1 haa6 paa4
滴水石穿,dik6 seoi2 sek6 cyun1
點菸器,dim2 jin1 hei3
定影,ding6 jing2
雕楹碧檻,diu1 jing4 bik1 laam6
賭球,dou2 kau4
獨出一時,duk6 ceot1 jat1 si4
獨具隻眼,duk6 geoi6 zek3 ngaan5
毒資,duk6 zi1
東坡肘子,dung1 bo1 zau2 zi2
花生秀,faa1 sang1 sau3
翻揀,faan1 gaan2
肺講嘢,fai3 gong2 je5
分波多工,fan1 bo1 do1 gung1
佛蘭德,fat6 laan4 dak1
飛彈潛艇,fei1 daan6 cim4 ting5
紡織孃,fong2 zik1 noeng4
灰不喇唧,fui1 bat1 laa1 zik1
福爾摩莎,fuk1 ji5 mo1 saa1
風檔玻璃,fung1 dong2 bo1 lei1
解釋器,gaai2 sik1 hei3
革故鼎新,gaak3 gu3 ding2 san1
鹼式鹽,gaan2 sik1 jim4
膠接,gaau1 zip3
雞兜,gai1 dau1
金字架,gam1 zi6 gaa2
狗崽子,gau2 zoi2 zi2
機掰,gei1 baai1
己型肝炎,gei2 jing4 gon1 jim4
杞天之慮,gei2 tin1 zi1 leoi6
驚鳥,ging1 niu5
結伙,git3 fo2
哥羅仿,go1 lo4 fong1
高舉遠蹈,gou1 geoi2 jyun5 dou6
古馳,gu2 ci4
貴皮,gwai3 pei2
光祿勳,gwong1 luk6 fan1
蜎出,gyun1 ceot1
捐稅,gyun1 seoi3
下死勁,haa6 sei2 ging6
黑膠綢,haak1 gaau1 cau4
熙壤,hei1 joeng6
犧牲打,hei1 sang1 daa2
牽就,hin1 zau6
訶斥,ho1 cik1
可通約,ho2 tung1 joek3
香菸頭,hoeng1 jin1 tau4
開霽,hoi1 zai3
寒噤,hon4 gam3
胸靶,hung1 baa2
紅殷殷,hung4 jin1 jin1
洪門子弟,hung4 mun4 zi2 dai6
紅三魚,hung4 saam1 jyu2
犬牙交錯,hyun2 ngaa4 gaau1 co3
飲醇自醉,jam2 seon4 zi6 zeoi3
淫畫,jam4 waa2
因加得減,jan1 gaa1 dak1 gaam2
仁弟,jan4 dai6
一點鄰域,jat1 dim2 leon4 wik6
一日三秋,jat1 jat6 saam1 cau1
休旅車,jau1 leoi5 ce1
油𠺘口,jau4 long2 hau2
油𣲷𣲷,jau4 nap6 nap6
游賞,jau4 soeng2
有隙可乘,jau5 gwik1 ho2 sing4
衣帽,ji1 mou6
以藥養醫,ji5 joek6 joeng5 ji1
異病同治,ji6 beng6 tung4 zi6
二點鐘,ji6 dim2 zung1
液胞,jik6 baau1
菸灰,jin1 fui1
菸鹼酸,jin1 gaan2 syun1
菸絲,jin1 si1
咽頭,jin1 tau4
熱疿,jit6 fai2
腰桿子,jiu1 gon1 zi2
踊躍,jung2 joek3
瑜迦,jyu4 gaa1
餘怒未息,jyu4 nou6 mei6 sik1
魚汛期,jyu4 seon3 kei4
紈褲子弟,jyun4 fu3 zi2 dai6
緣首,jyun4 sau2
啓矇,kai2 mung4
喬治敦,kiu4 zi6 deon1
圐圙,ku1 loek6
崑士蘭,kwan1 si6 laan4
拉拉隊員,laai1 laai1 deoi6 jyun4
藍草莓,laam4 cou2 mui2
立糯,laap6 no6
蓮子口面,lin4 zi2 hau2 min6
拎包黨,ling1 baau1 dong2
落牙骹,lok1 ngaa4 gaau3
樂合彩,lok6 hap6 coi2
落形,lok6 jing4
老坑公,lou5 haang1 gung1
綠玉髓,luk6 juk6 seoi5
馬玲,maa5 ling4
罵不絕口,maa6 bat1 zyut6 hau2
繃角,maang1 gok3
孟姜女,maang6 goeng1 neoi5
迷迷懵,mai4 mai4 mung2
麥阿密,mak6 aa3 mat6
墨爾鉢,mak6 ji5 but3
茂尼,mau6 nei4
屘指,mei1 zi2
淼茫,miu5 mong4
芒貼,mon1 tip3
無厘頭尻,mou4 lei4 tau4 gau1
霧幔,mou6 maan6
門恤,mun4 seot1
滿目琳琅,mun5 muk6 lam4 long4
蒙蒙光,mung1 mung1 gwong1
沒用怪,mut6 jung6 gwaai3
淰瞓,nam6 fan3
五彩賓紛,ng5 coi2 ban1 fan1
唅沈,ngam4 cam4
昵愛,nik1 oi3
尿急急,niu6 gap1 gap1
娘泡,noeng4 paau1
腦門子,nou5 mun4 zi2
愛崗敬業,oi3 gong1 ging3 jip6
骿骨,pin4 gwat1
旁皇,pong4 wong4
普渡慈航,pou2 dou6 ci4 hong4
薩克斯風,saat3 hak1 si1 fung1
殺鼠藥,saat3 syu2 joek6
溼衣,sap1 ji1
溼坺坺,sap1 pet6 pet6
收話器,sau1 waa2 hei3
修正液,sau1 zing3 jik6
手禮拜,sau2 lai5 baai3
瀉肚子,se3 tou5 zi2
水菸袋,seoi2 jin1 doi2
絲母,si1 mou2
屎屎忽忽,si2 si2 fat1 fat1
事後聰明,si6 hau6 cung1 ming4
食人俗,sik6 jan4 zuk6
食詐和,sik6 zaa3 wu2
星架波,sing1 gaa2 bo1
疏財重義,so1 coi4 zung6 ji6
