char,jp
上級領導,soeng6 kap1 ling5 dou6
二等車,ji6 dang2 ce1
搵咯,
太安路口,
湘情緣,
厚蹭蹭,hau5 sang4 sang4
察布查爾,caat3 bou3 caa4 ji5
方邦,
紅仔嶺,
鴨鄉源,
嶧城區,jik6 sing4 keoi1
姐弟服飾,
座梗,zo6 gang2
戳穿試驗,coek3 cyun1 si3 jim6
新造渡口,
冇根繦,
綠咭,luk6 kaat1
杏林水果,
蹺口巉手,kiu2 hau2 caam5 sau2
你喺度嗎,
中正電腦,
剋己奉公,hak1 gei2 fung6 gung1
費事畀人,
自覺接受,
康公古廟,
格蘭菜,gaak3 laan4 coi3
喜寶閣,
糊弄,wu4 lung6
鞣製,jau4 zai3
景蜜村東,
鶴壁,hok6 bik1
短粗,dyun2 cou1
華鹽股份,
添香餅家,
賊老窩,
一㓤就穿,jat1 gat1 zau6 cyun1
宿捨,
聯合彩印,
艱苦樸素,gaan1 fu2 pok3 sou3
不知幾爽,bat1 zi1 gei2 song2
烏低腰,
卡尼珠寶,
鼠害,syu2 hoi6
天鑾,
盛悅居,
逸利,
播音筒,bo3 jam1 tung2
物料員,
在水方,
紅櫻桃,
冬山鄉,dung1 saan1 hoeng1
攞蛋,
何驚凡,
泥湴,nai4 baan6
大氣兒,daai6 hei3 ji4
恆達木業,
滾滾地,gwan2 gwan2 dei2
解甲歸田,gaai2 gaap3 gwai1 tin4
力天通訊,
鬆崗教堂,
折疊式,zit3 dip6 sik1
啊爺,
啓儀閣,
引揚軒,
虹碗外賣,
從嚴處理,cung4 jim4 cyu5 lei5
嗜慾,si3 juk6
愛管閒事,oi3 gun2 haan4 si6
上村下南,
張馬田坳,
菲爾牀墊,
昊昊通訊,
棋牌茶藝,
美特皮業,
阿森鮑魚,
圍腳,
擳牙膏,zit1 ngaa4 gou1
嶄然,zaam2 jin4
石鼓文,sek6 gu2 man4
四角號碼,sei3 gok3 hou6 maa5
馮敬,
西格馬,sai1 gaak3 maa5
沙田豆,
山頂洞人,
右箭頭鍵,jau6 zin3 tau4 gin6
珠江崖邊,
龍栢閣,
呆不入猴,
復我,
白石坑,
咬老軟,ngaau5 lou5 jyun5
我醉欲眠,ngo5 zeoi3 juk6 min4
蟻躝噉,ngai5 laan1 gam2
中鼎集團,
冤香面口,
韓國想像,
多咀,do1 zeoi2
二迭紀,ji6 dit6 gei2
勾消,ngau1 siu1
不當得利,bat1 dong3 dak1 lei6
我娃,
卡路仕,
蹦達,bang1 daat6
芊美,
昌華氣動,
灜妮,
大匠,daai6 zoeng6
迅成鞋業,
籠仔包,
板壁,baan2 bik1
日本首飾,
紅腳隼,hung4 goek3 zeon2
